# ID ra dec redshift
21 50.28124999999999 -31.31275 0.068139
32 325.16141666666664 6.5102416666666665 0.023063
37 193.24249999999998 32.41925 0.022805
40 137.42375 37.60180555555556 0.02298
44 356.19999999999993 -2.1175472222222225 0.006731
45 155.38291666666663 8.405866666666666 0.032668
47 193.18666666666664 26.470277777777778 0.021405
48 209.553125 17.53157222222222 0.022447
50 169.67095833333332 25.166633333333333 0.0254
54 330.5077083333333 -70.04058333333333 0.037519
55 34.65758333333333 33.61713888888889 0.044
56 116.30991666666665 -71.40390000000001 0.017722
57 160.163875 39.06463888888889 0.029284
58 30.44329166666666 26.54498888888889 0.016708
59 185.46408333333332 -24.165 0.013416
60 170.49354166666663 -37.90680555555556 0.009159
61 329.4998749999999 24.268916666666666 0.010424
69 225.15349999999998 -3.846916666666667 0.022722
72 191.56153333333333 -40.814591666666665 0.015367
73 220.16457499999996 38.632930555555554 0.0125
77 65.00587499999999 -54.93805555555555 0.005017
84 11.385624999999997 -14.259611111111111 0.021989
87 305.4576666666666 -31.285216666666667 0.019277
90 130.1844583333333 57.25136388888889 0.017533
94 26.159916666666664 35.805680555555554 0.014477
95 81.32554166666667 -46.00563888888889 0.042489
96 9.969083333333332 -38.064505555555556 0.023
102 344.330875 -20.96688888888889 0.026191
106 16.704874999999998 -46.98332222222223 0.016
107 358.7880375 10.215055555555555 0.0137
111 196.0362083333333 52.312916666666666 0.065
115 210.77599999999998 -38.47497222222223 0.0178
119 3.0065666666666666 26.393683333333332 0.015034
126 195.27658333333332 -36.60004722222222 0.01587
127 61.560999999999986 -8.885633333333333 0.036715
128 238.6597083333333 16.610583333333334 0.007946
143 172.20687499999997 29.914583333333333 0.050448
147 252.1048333333333 50.99186111111111 0.04866
148 257.44179166666663 62.97416944444445 0.027408
149 247.9533333333333 20.41069444444444 0.017182
152 140.08516666666668 -7.640772222222222 0.033436
155 203.85474999999997 1.4091666666666667 0.017479
156 194.86371666666665 14.171052777777778 0.006631
159 214.099875 39.50250555555556 0.019507
167 233.3929583333333 -78.12318333333333 0.009096
169 302.5097916666666 -0.7392527777777778 0.025
174 165.51979166666663 3.500738888888889 0.0348
176 162.12625 -21.635541666666665 0.012742
185 152.91245833333332 -31.65112222222222 0.009477
189 130.05004166666663 -4.591944444444444 0.014257
