# ID references
49605 2006IAUC.8707....3B,2012A&A...538A.120L,2016A&A...594A..13P,2006IAUC.8707....1L,2011ApJ...737..103S
49627 2006IAUC.8720....2S,2012A&A...538A.120L,2016A&A...594A..13P,2006IAUC.8720....1L,2006ATel..825....1A
49662 2006IAUC.8741....1P,2008ApJ...673..999P,2012A&A...538A.120L,2016A&A...594A..13P,2011ApJ...737..103S
49729 2006IAUC.8754....1F,2012A&A...538A.120L,2016A&A...594A..13P,2011ApJ...737..103S,2008yCat....1.2024B
49986 2006IAUC.8782....2G,2012A&A...538A.120L,2019MNRAS.482.1545S,2016A&A...594A..13P,2006IAUC.8782....1M
48960 2006MNRAS.371.1459T,2014AJ....147...99M,2014ApJS..213...19B,2019MNRAS.482.1545S,2012A&A...538A.120L
50091 2007CBET..812....1M,2012A&A...538A.120L,2016A&A...594A..13P,2007IAUC.8798....1J,2011ApJ...737..103S
50123 2007CBET..885....1W,2012A&A...538A.120L,2016A&A...594A..13P,2007IAUC.8822....1P,2011ApJ...737..103S
50147 2007CBET..941....1A,2012A&A...538A.120L,2016A&A...594A..13P,2007ATel.1059....1A,2011ApJ...737..103S
50152 2007CBET..941....1A,2012A&A...538A.120L,2016A&A...594A..13P,2007IAUC.8834....1M,2007ATel.1059....1A
50214 2007CBET..990....1A,2012A&A...538A.120L,2016A&A...594A..13P,2007ATel.1099....1A,2011ApJ...737..103S
50200 2007CBET..990....1A,2012A&A...538A.120L,2016A&A...594A..13P,2007ATel.1123....1A,2011ApJ...737..103S
50228 2007CBET..990....1A,2012A&A...538A.120L,2016A&A...594A..13P,2007ATel.1124....1A,2011ApJ...737..103S
50207 2007CBET..990....1A,2012A&A...538A.120L,2016A&A...594A..13P,2011ApJ...737..103S,2008yCat....1.2024B
50233 2007CBET..991....1A,2012A&A...538A.120L,2016A&A...594A..13P,2007ATel.1126....1A,2011ApJ...737..103S
50241 2007CBET..996....1B,2012A&A...538A.120L,2016A&A...594A..13P,2007ATel.1137....1B,2011ApJ...737..103S
50261 2007CBET.1009....1A,2012A&A...538A.120L,2016A&A...594A..13P,2011ApJ...737..103S,2008yCat....1.2024B
50154 2007IAUC.8834....1M,2012A&A...538A.120L,2016A&A...594A..13P,2007CBET..941....1A,2011ApJ...737..103S
46782 2008ApJ...673..999P,1988IAUC.4623....3G,2012A&A...538A.120L,2016A&A...594A..13P,1993BICDS..42...17T
46870 2008ApJ...673..999P,1991IAUC.5167....3B,2000AJ....120..367G,2012A&A...538A.120L,2016A&A...594A..13P
46877 2008ApJ...673..999P,1991IAUC.5196....3M,2000AJ....120..367G,2012A&A...538A.120L,2016A&A...594A..13P
47005 2008ApJ...673..999P,1993IAUC.5709....2G,2012A&A...538A.120L,2016A&A...594A..13P,1993IAUC.5703....1M
47014 2008ApJ...673..999P,1993IAUC.5784....4S,2012A&A...538A.120L,2016A&A...594A..13P,1993IAUC.5784....1M
47086 2008ApJ...673..999P,1995IAUC.6153....4M,2012A&A...538A.120L,2016A&A...594A..13P,1995IAUC.6153....1P
47172 2008ApJ...673..999P,1996IAUC.6434....3E,2012A&A...538A.120L,2016A&A...594A..13P,1996IAUC.6437S...1C
47298 2008ApJ...673..999P,1997IAUC.6612....2W,2012A&A...538A.120L,2016A&A...594A..13P,1997IAUC.6615R...1L
47328 2008ApJ...673..999P,1997IAUC.6689....2G,2012A&A...538A.120L,2016A&A...594A..13P,1997IAUC.6689Q...1M
47468 2008ApJ...673..999P,1998IAUC.6900....2H,2012A&A...538A.120L,2016A&A...594A..13P,1998IAUC.6900Q...1K
47596 2008ApJ...673..999P,1999IAUC.7125....2S,2012A&A...538A.120L,2016A&A...594A..13P,1999IAUC.7125Q...1S
47763 2008ApJ...673..999P,2000IAUC.7362....3P,2012A&A...538A.120L,2016A&A...594A..13P,2003yCat.2246....0C
47970 2008ApJ...673..999P,2001IAUC.7603....3S,2012A&A...538A.120L,2016A&A...594A..13P,2001IAUC.7603....1P
48679 2008ApJ...673..999P,2003IAUC.8108....2G,2012A&A...538A.120L,2016A&A...594A..13P,2003IAUC.8108....1B
48864 2008ApJ...673..999P,2003IAUC.8243....4Y,2012A&A...538A.120L,2016A&A...594A..13P,2003IAUC.8243....1S
48948 2008ApJ...673..999P,2004IAUC.8297....3G,2012A&A...538A.120L,2016A&A...594A..13P,2004IAUC.8297....2S
48954 2008ApJ...673..999P,2004IAUC.8301....3V,2017PASP..129e4201S,2012A&A...538A.120L,2008A&A...488..383H
48977 2008ApJ...673..999P,2004IAUC.8335....2G,2012A&A...538A.120L,2016A&A...594A..13P,2004IAUC.8335....1A
49053 2008ApJ...673..999P,2004IAUC.8406....2M,2012A&A...538A.120L,2016A&A...594A..13P,2004IAUC.8406....1A
49225 2008ApJ...673..999P,2005IAUC.8512....4Y,2019MNRAS.482.1545S,2012A&A...538A.120L,2016A&A...594A..13P
49502 2008ApJ...673..999P,2005IAUC.8647....1P,2012A&A...538A.120L,2016A&A...594A..13P,2011ApJ...737..103S
49634 2008ApJ...673..999P,2006IAUC.8723....4B,2012A&A...538A.120L,2016A&A...594A..13P,2006IAUC.8723....2Q
46111 2008ApJ...673..999P,2012A&A...538A.120L,1939AnHar.910...47H,1920AN....210..373W,2016A&A...594A..13P
46480 2008ApJ...673..999P,2012A&A...538A.120L,1985PZ.....22..191T,1971IAUC.2335....1M,2016A&A...594A..13P
46778 2008ApJ...673..999P,2012A&A...538A.120L,1988IAUC.4591....3H,2016A&A...594A..13P,2011ApJ...737..103S
46820 2008ApJ...673..999P,2012A&A...538A.120L,1989IAUC.4920....3H,2016A&A...594A..13P,2008yCat.2283....0B
47732 2008ApJ...673..999P,2012A&A...538A.120L,1999IAUC.7316....4D,2016A&A...594A..13P,1999IAUC.7316R...1F
48056 2008ApJ...673..999P,2012A&A...538A.120L,2001IAUC.7684....3M,2016A&A...594A..13P,2001IAUC.7684....1D
48324 2008ApJ...673..999P,2017PASP..129e4201S,2002IAUC.7875....3H,2012A&A...538A.120L,2016A&A...594A..13P
48697 2008ApJ...673..999P,2019MNRAS.482.1545S,2003IAUC.8120....3H,2012A&A...538A.120L,2016A&A...594A..13P
49784 2008ApJ...673..999P,2019MNRAS.482.1545S,2006IAUC.8759....4G,2012A&A...538A.120L,2016A&A...594A..13P
50676 2008CBET.1239....2M,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat.2283....0B,2011ApJ...737..103S
50703 2008CBET.1292....1C,2012A&A...538A.120L,2019MNRAS.482.1545S,2016A&A...594A..13P,2011ApJ...737..103S
50716 2008CBET.1316....1G,2012A&A...538A.120L,2016A&A...594A..13P,2011ApJ...737..103S,2008yCat....1.2024B
50765 2008CBET.1409....7B,2012A&A...538A.120L,2016A&A...594A..13P,2008CBET.1409....1D,2011ApJ...737..103S
50771 2008CBET.1413....1M,2012A&A...538A.120L,2016A&A...594A..13P,2011ApJ...737..103S,2008yCat....1.2024B
50779 2008CBET.1426....1M,2012A&A...538A.120L,2016A&A...594A..13P,2011ApJ...737..103S,2008yCat....1.2024B
50782 2008CBET.1430....1P,2012A&A...538A.120L,2016A&A...594A..13P,2011ApJ...737..103S,2008yCat....1.2024B
50804 2008CBET.1468....1R,2012A&A...538A.120L,2016A&A...594A..13P,2011ApJ...737..103S,2008yCat....1.2024B
50813 2008CBET.1485....2G,2012A&A...538A.120L,2016A&A...594A..13P,2008CBET.1485....1K,2011ApJ...737..103S
50822 2008CBET.1502....2H,2012A&A...538A.120L,2016A&A...594A..13P,2008CBET.1502....1Y,2011ApJ...737..103S
50879 2008CBET.1600....1T,2019MNRAS.482.1545S,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B
50883 2008CBET.1607....3S,2012A&A...538A.120L,2016A&A...594A..13P,2003yCat.2246....0C,2011ApJ...737..103S
51256 2009ApJ...696..870D,2012A&A...538A.120L,2009CBET.2048....1D,2016A&A...594A..13P,2008yCat....1.2024B
51325 2009ApJ...696..870D,2012A&A...538A.120L,2010CBET.2145....1M,2016A&A...594A..13P,2008yCat....1.2024B
56169 2009ApJ...696..870D,2016A&A...594A..13P
53314 2009ApJ...696..870D,2016A&A...594A..13P,2011ApJ...737..103S
50943 2009CBET.1683....1D,2012A&A...538A.120L,2017ApJ...850...89G,2016A&A...594A..13P,2008yCat....1.2024B
50959 2009CBET.1706....1L,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S
50972 2009CBET.1729....1N,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2014MNRAS.444.2428H
50983 2009CBET.1732....1K,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2012PASP..124..668Y
50984 2009CBET.1732....1K,2012A&A...538A.120L,2016A&A...594A..13P,2009PASP..121.1395L,2012PASP..124..668Y
51018 2009CBET.1754....2Q,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2012PASP..124..668Y
51037 2009CBET.1773....1N,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S
51038 2009CBET.1775....2B,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S
51065 2009CBET.1801....1D,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S
51085 2009CBET.1821....1B,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S
51298 2009CBET.2107....3C,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2012PASP..124..668Y
51313 2010CBET.2119....1L,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S
51338 2010CBET.2169....2P,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S
51334 2010CBET.2169....2P,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2012PASP..124..668Y
51345 2010CBET.2203....1R,2019MNRAS.482.1545S,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B
51407 2010CBET.2213....1K,2012A&A...538A.120L,2016A&A...594A..13P,2011ApJ...737..103S
51364 2010CBET.2226....2V,2012A&A...538A.120L,2015ApJ...799..208S,2016A&A...594A..13P,2011ApJ...737..103S
51397 2010CBET.2263....1G,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2012PASP..124..668Y
51406 2010CBET.2285....1C,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S
51410 2010CBET.2287....2P,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2012PASP..124..668Y
51440 2010CBET.2326....1K,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S
51482 2010CBET.2351....1N,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S
51497 2010CBET.2382....1N,2019MNRAS.482.1545S,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B
51587 2010CBET.2549....1C,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S
51659 2011CBET.2643....2S,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S
51666 2011CBET.2650....2M,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S
51681 2011CBET.2665....2M,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S
51696 2011CBET.2680....2S,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S
51723 2011CBET.2710....2M,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S
51750 2011CBET.2725....2T,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S
51768 2011CBET.2752....2S,2016A&A...594A..13P,2008yCat....1.2024B,2012PASP..124..668Y,2011ApJ...737..103S
7005 2011CBET.2787....1G,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S
51860 2011CBET.2889....1K,2016A&A...594A..13P,2011ATel.3245....1K,2011ApJ...737..103S,2008yCat....1.2024B
51865 2011CBET.2897....2T,2017csnh.book.....H,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S
51879 2011CBET.2911....2V,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S
51883 2011CBET.2916....2V,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S
47966 2011MNRAS.415..773S,2001IAUC.7596....3B,2016A&A...594A..13P,2001IAUC.7596....1B,2011ApJ...737..103S
50925 2012A&A...537A.141P,2012A&A...538A.120L,2009CBET.1648....1B,2016A&A...594A..13P,2018arXiv180302571S
46152 2012A&A...538A.120L,1950PASP...62..116H,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S
46339 2012A&A...538A.120L,1963IAUC.1834....1S,2016A&A...594A..13P,1993PASP..105.1250P,2011ApJ...737..103S
46641 2012A&A...538A.120L,1982IAUC.3681....2L,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S
46683 2012A&A...538A.120L,1983IAUC.3873....3B,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S
46697 2012A&A...538A.120L,1984IAUC.3937....3G,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S
46737 2012A&A...538A.120L,1986IAUC.4191....5G,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S
46774 2012A&A...538A.120L,1988IAUC.4563....4B,2016A&A...594A..13P,2008yCat.2283....0B,2011ApJ...737..103S
46804 2012A&A...538A.120L,1989IAUC.4736....4G,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S
46806 2012A&A...538A.120L,1989IAUC.4768....5S,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S
46810 2012A&A...538A.120L,1989IAUC.4778....3G,2016A&A...594A..13P,1993BICDS..42...17T,2011ApJ...737..103S
46384 2012A&A...538A.120L,1989nane.conf..254C,1971MmSAI..42..145C,2016A&A...594A..13P,1966IAUC.1949....1S
46837 2012A&A...538A.120L,1990IAUC.4992....3H,2017MNRAS.467..369S,2000AJ....120..367G,2016A&A...594A..13P
46885 2012A&A...538A.120L,1991IAUC.5237....3C,2016A&A...594A..13P,2012A&A...544A..81H,2011ApJ...737..103S
47000 2012A&A...538A.120L,1994IAUC.5960....3M,2016A&A...594A..13P,1994IAUC.5960....1V,2014MNRAS.444.2428H
47132 2012A&A...538A.120L,1995IAUC.6275....3P,2016A&A...594A..13P,1995IAUC.6275....1M,2011ApJ...737..103S
47137 2012A&A...538A.120L,1996IAUC.6292....3M,2016A&A...594A..13P,1996IAUC.6292Q...1D,2011ApJ...737..103S
47296 2012A&A...538A.120L,1997IAUC.6609....3M,2016A&A...594A..13P,1997IAUC.6610R...1B,2011ApJ...737..103S
47324 2012A&A...538A.120L,1997IAUC.6672....2B,2016A&A...594A..13P,2008yCat.2283....0B,2011ApJ...737..103S
47349 2012A&A...538A.120L,1997IAUC.6763....3H,2016A&A...594A..13P,2008yCat.2283....0B,2011ApJ...737..103S
47368 2012A&A...538A.120L,1997IAUC.6790....3L,2016A&A...594A..13P,2008yCat.2283....0B,2011ApJ...737..103S
47438 2012A&A...538A.120L,1998IAUC.6877....3H,2016A&A...594A..13P,2008yCat.2283....0B,2011ApJ...737..103S
47475 2012A&A...538A.120L,1998IAUC.6907....3F,2016A&A...594A..13P,2008yCat.2283....0B,2011ApJ...737..103S
47492 2012A&A...538A.120L,1998IAUC.6957....3T,2016A&A...594A..13P,2008yCat.2283....0B,2011ApJ...737..103S
47580 2012A&A...538A.120L,1999IAUC.7106....3P,2016A&A...594A..13P,1999IAUC.7106R...1S,2011ApJ...737..103S
47627 2012A&A...538A.120L,1999IAUC.7145....3L,2016A&A...594A..13P,1999IAUC.7145Q...1L,2011ApJ...737..103S
47646 2012A&A...538A.120L,1999IAUC.7202....3W,2009MNRAS.397..677T,2016A&A...594A..13P,1999IAUC.7202Q...1B
47701 2012A&A...538A.120L,1999IAUC.7309....4M,2016A&A...594A..13P,1999IAUC.7309Q...1M,2011ApJ...737..103S
47801 2012A&A...538A.120L,2000IAUC.7389....3Y,2016A&A...594A..13P,2000IAUC.7389Q...1P,2011ApJ...737..103S
47839 2012A&A...538A.120L,2000IAUC.7421....3F,2016A&A...594A..13P,2000IAUC.7421R...1S,2011ApJ...737..103S
47909 2012A&A...538A.120L,2000IAUC.7533....3M,2016A&A...594A..13P,2000IAUC.7533Q...1H,2011ApJ...737..103S
47947 2012A&A...538A.120L,2001IAUC.7564....3M,2017PASP..129e4201S,2016A&A...594A..13P,2001IAUC.7564....2B
47955 2012A&A...538A.120L,2001IAUC.7579....3G,2016A&A...594A..13P,2001IAUC.7579....1W,2011ApJ...737..103S
47956 2012A&A...538A.120L,2001IAUC.7580....3B,2016A&A...594A..13P,2001IAUC.7580....1P,2011ApJ...737..103S
47962 2012A&A...538A.120L,2001IAUC.7592....3L,2016A&A...594A..13P,2001IAUC.7592....1L,2011ApJ...737..103S
47963 2012A&A...538A.120L,2001IAUC.7592....3L,2016A&A...594A..13P,2001IAUC.7592....2M,2011ApJ...737..103S
47973 2012A&A...538A.120L,2001IAUC.7606....3W,2016A&A...594A..13P,2011ApJ...737..103S,2008yCat....1.2024B
48018 2012A&A...538A.120L,2001IAUC.7636....5F,2019MNRAS.482.1545S,2016A&A...594A..13P,2001IAUC.7636....1S
48112 2012A&A...538A.120L,2001IAUC.7750....3H,2016A&A...594A..13P,2001IAUC.7750....1H,2011ApJ...737..103S
48188 2012A&A...538A.120L,2001IAUC.7781....3B,2016A&A...594A..13P,2001IAUC.7782....2H,2011ApJ...737..103S
48244 2012A&A...538A.120L,2002IAUC.7793....2C,2016A&A...594A..13P,2002IAUC.7793....1S,2011ApJ...737..103S
48327 2012A&A...538A.120L,2002IAUC.7879....3K,2016A&A...594A..13P,2002IAUC.7879....1P,2011ApJ...737..103S
48376 2012A&A...538A.120L,2002IAUC.7941....2H,2016A&A...594A..13P,2002IAUC.7941....1P,2011ApJ...737..103S
48604 2012A&A...538A.120L,2003IAUC.8064....4C,2016A&A...594A..13P,2003IAUC.8064....2S,2011ApJ...737..103S
48639 2012A&A...538A.120L,2003IAUC.8086....3F,2016A&A...594A..13P,2003IAUC.8086....1S,2011ApJ...737..103S
48642 2012A&A...538A.120L,2003IAUC.8089....3M,2016A&A...594A..13P,2003IAUC.8089....2W,2011ApJ...737..103S
48680 2012A&A...538A.120L,2003IAUC.8108....2G,2016A&A...594A..13P,2003IAUC.8108....1B,2011ApJ...737..103S
48712 2012A&A...538A.120L,2003IAUC.8134....2M,2016A&A...594A..13P,2003IAUC.8134....1G,2011ApJ...737..103S
48715 2012A&A...538A.120L,2003IAUC.8135....3P,2016A&A...594A..13P,2011ApJ...737..103S,2008yCat....1.2024B
48771 2012A&A...538A.120L,2003IAUC.8168....2M,2016A&A...594A..13P,2003IAUC.8168....1L,2011ApJ...737..103S
48790 2012A&A...538A.120L,2003IAUC.8184....2M,2016A&A...594A..13P,2011ApJ...737..103S,2008yCat....1.2024B
48915 2012A&A...538A.120L,2004IAUC.8271....2S,2016A&A...594A..13P,2011ApJ...737..103S,2008yCat....1.2024B
48937 2012A&A...538A.120L,2004IAUC.8290....3G,2016A&A...594A..13P,2004IAUC.8290....1B,2011ApJ...737..103S
48951 2012A&A...538A.120L,2004IAUC.8299....3S,2016A&A...594A..13P,2004IAUC.8299....1S,2011ApJ...737..103S
