# ID redshift petroMag_r rabsmag
47324 0.023 12.71457 -21.670307453718262
50154 0.05 14.57395 -21.465010320969718
46641 0.029 13.86035 -21.010520250659926
50233 0.03 17.62389 -17.317316517331054
50229 0.03 14.46382 -20.48384446108407
26342 0.0305 15.55204 -19.4447266152045
48670 0.036 13.52844 -21.81499944494975
52499 0.0367 14.74553 -20.614545498522244
46298 0.032 14.54061 -20.55129034796053
26069 0.033 16.54339 -18.605087944493935
48605 0.035 15.55742 -19.707694664528347
52016 0.0309 14.41994 -20.588179291079204
50152 0.04 16.83879 -18.689964573127316
54661 0.03 15.62906 -19.307233138481674
50262 0.014 16.68507 -16.599394088137217
50200 0.03 17.18447 -17.733074037308036
50998 0.0108 14.53074 -18.141637760922396
52595 0.028723 13.41999 -21.45094274977908
51938 0.0316 14.63749 -20.469676857715864
46312 0.023 14.44408 -19.905917135935464
48771 0.033 13.57963 -21.640156379363503
51397 0.0273 13.8726 -20.882925548074716
46329 0.033 15.86807 -19.257277217413048
47801 0.019 13.9757 -20.010517262472145
15099 0.049715 15.89847 -20.12614894642835
53407 0.0536 16.35067 -19.81000124455835
52206 0.024537 13.84265 -20.77296915365576
48281 0.0129 13.13267 -19.972616199986255
47763 0.02175 13.16493 -21.107341966639208
48456 0.009637 13.31189 -19.204461740692707
3056 0.055205 15.58956 -20.658182993578432
51879 0.037 13.57646 -21.812164000564177
49571 0.055 14.84311 -21.39049940857098
46837 0.0052 11.12008 -20.030401006178128
52160 0.023986 15.5214 -18.93425612731984
52255 0.025554 13.58179 -21.02078821766888
48018 0.02 13.25597 -20.828729713946732
49532 0.02 13.25597 -20.828729713946732
51696 0.014 15.80066 -17.525338466006684
50901 0.0151 13.51589 -19.97202672851781
49605 0.019 12.77684 -21.20458683058457
49862 0.0083 13.56454 -18.561925291705286
15399 0.037818 15.71461 -19.70628903376768
49189 0.021 14.33843 -19.836821947705786
46725 0.00962 21.80666 -10.81509888705945
210 0.034371 15.92106 -19.273521547731132
57787 0.034371 15.92106 -19.273521547731132
48969 0.017 20.1768 -13.514364772073304
212 0.021466 15.69168 -18.525257553393306
51944 0.0145 13.73233 -19.635069549941885
52612 0.0054 14.84767 -16.427978796708672
15194 0.047335 16.14446 -19.754242753289294
50879 0.0217 13.6995 -20.563616404444446
49067 0.0053 20.646 -10.586189204948178
48327 0.034 16.28444 -18.895793373941537
49180 0.037 14.2788 -21.09727353802723
1804 0.04 16.88382 -18.637197684828095
50688 0.025 14.50768 -20.009977134170526
49237 0.025 13.27428 -21.29269783240664
49228 0.028 16.67767 -18.110426136283206
48971 0.033 15.69091 -19.42336636416549
49986 0.012 12.7953 -20.176007170538416
47492 0.026 14.45504 -20.16964284972122
51659 0.0262 13.41028 -21.26849019344327
51497 0.0145 13.08382 -20.331291219836583
50261 0.05 15.94831 -20.056389937700857
47339 0.015 14.84071 -18.523110893668303
52273 0.021081 16.64407 -17.448826467711587
51860 0.0233 13.82336 -20.59995602110593
51407 0.0233 13.82336 -20.59995602110593
51068 0.035 17.15092 -18.13179463640052
3915 0.08 16.03327 -21.004486835210226
53374 0.0189 14.42147 -19.54026558496234
46810 0.008 12.07029 -20.038022497878426
51681 0.0268 14.9232 -19.77296893039076
47909 0.011 13.16401 -19.559556835179624
46793 0.010854 13.16401 -19.5306259374995
49542 0.015 15.38772 -17.990344763656836
47412 0.0668 13.82456 -22.81479778317192
48882 0.026 14.05517 -20.59074579871303
1464 0.038633 16.34644 -19.142887973751503
49209 0.019 19.05717 -14.809867553721308
37 0.022805 16.00054 -18.359503171109463
50771 0.0518 13.77806 -22.345824673201633
47849 0.03 14.65499 -20.271579154923636
48305 0.016 13.28722 -20.374071740427077
48715 0.019 13.00347 -20.97511961124865
49551 0.016 14.06649 -19.53651637351099
46355 0.0252 16.45929 -18.130904274863862
46804 0.027 15.46247 -19.24381123847615
47839 0.029 21.30251 -13.517883819523103
47843 0.027 14.6074 -20.092637991455764
907 0.024 15.21525 -19.269318923873442
51723 0.0152 13.07846 -20.422869910670403
50654 0.0188 13.50601 -20.423370849002676
46885 0.035 15.87831 -19.375645225562067
49610 0.037 15.73851 -19.625159170743903
47764 0.04793 14.36426 -21.5691577398874
51440 0.028 14.60775 -20.214757541735832
49021 0.021 17.91306 -16.23573416262071
52482 0.013 14.8167 -18.32304437005567
48984 0.019 14.68854 -19.236015212871248
48027 0.017 13.50512 -20.26880014519112
52061 0.0359 14.10541 -21.204450821984242
52045 0.036 15.47305 -19.868674587103527
51338 0.0355 14.48751 -20.82278462927346
50228 0.07 17.79754 -18.917635781266426
48642 0.02 13.30081 -20.79449507238628
47609 0.021 13.79547 -20.393321141478737
46290 0.025235 13.83911 -20.743198187269947
50123 0.0211 13.38616 -20.80708353462212
52516 0.012762 12.88118 -20.230813794031597
47580 0.051 14.79716 -21.306441428321122
52200 0.034 15.25416 -19.93261324525113
48112 0.0046 12.5154 -18.386674184249387
49644 0.022 14.19262 -20.078287464824886
51359 0.0671 19.04869 -17.553969572982556
3632 0.023 15.66773 -18.72827735876459
48982 0.017225 13.70998 -19.994849528211788
49459 0.017 13.70998 -19.96635532735664
48462 0.011469 14.03492 -18.8561481108603
50120 0.0115 12.8527 -20.054665854426517
50042 0.012 12.8527 -20.14627408659341
51945 0.026 15.03458 -19.56049558781295
46292 0.025364 13.71439 -20.893621048713463
3642 0.038 15.7141 -19.770569619359218
46587 0.021 13.34206 -20.846421157978206
49111 0.024 13.89068 -20.52581445812714
46341 0.0232 15.31939 -19.03374390700963
46152 0.017 13.21433 -20.54142522701575
47947 0.013 14.36226 -18.803466972499766
501 0.09149 17.66146 -19.63623682730738
47438 0.0125 12.66124 -20.408730418972876
48972 0.022 13.42087 -20.85884147007058
49631 0.036 14.91585 -20.416911533957325
48244 0.024 13.29826 -21.191053757664665
52940 0.05598 16.21944 -20.043311194583428
541 0.08 17.85896 -19.15420368569311
46417 0.039704 14.46699 -21.09941786727015
46331 0.0232 14.39776 -20.01307727338371
46265 0.018 12.55116 -21.314816402121814
49214 0.0085 13.09066 -19.072050360710705
46517 0.0232 12.7809 -21.62211157934178
54415 0.06 17.12892 -19.324324623637978
46149 0.0044 12.14337 -18.680933395472657
51334 0.026 13.98123 -20.664197437615222
47259 0.013 23.0648 -10.091180218863887
50113 0.0207 14.92595 -19.248417116870755
49604 0.019 13.7333 -20.220637438332382
52377 0.004356 12.32639 -18.41689279327453
49188 0.019 13.15449 -20.811855543814737
4295 0.04 14.96027 -20.641970862032633
50147 0.04 17.70889 -17.80202382707383
48933 0.042 16.81271 -18.80389982899083
49173 0.027 15.1653 -19.543316616563924
52239 0.026 16.47269 -18.1684080351987
49215 0.03 13.71218 -21.241788858014917
52296 0.023726 18.90954 -15.510815938993739
1753 0.03 16.62232 -18.28943067108082
55317 0.02094 16.47894 -17.680560240742615
250 0.033574 16.64836 -18.50986515724827
49222 0.022 13.99099 -20.261672351261304
51709 0.022 15.18928 -19.056939671126326
47368 0.0087 11.85992 -20.434742146768823
49239 0.027 13.8884 -20.838349618505166
48998 0.014 20.63821 -12.619526688058254
50 0.0254 17.81347 -16.7322379403215
48604 0.023 14.10016 -20.342542053511593
1343 0.07 16.67652 -20.090636000359538
7005 0.02 17.07397 -16.89853972070164
4691 0.080849 17.50986 -19.541830502314124
807 0.023173 14.81575 -19.604677714023822
50813 0.031 14.4427 -20.580677290821157
54416 0.02837 16.50012 -18.29884725911224
52445 0.01824 14.09134 -19.782281584594827
46737 0.022 14.34861 -19.93274409127868
4692 0.039119 17.35769 -18.157500500583957
49103 0.021 14.00013 -20.164710765099812
52384 0.0205 14.00013 -20.112938085966135
49555 0.0207 13.07702 -21.073516646370877
52269 0.043 14.99673 -20.72926325075435
48618 0.018 14.68255 -19.144787384114593
11332 0.04 16.66252 -18.90601953467064
48951 0.03 14.00227 -20.944974135721562
49592 0.032 14.40385 -20.661260551516683
52244 0.0175 20.26655 -13.4615410256692
50138 0.0178 13.87245 -19.98973639209609
50737 0.036168 16.81353 -18.54811440705735
50983 0.039 15.92865 -19.534754549583702
48712 0.027 17.73654 -16.99770222133099
47646 0.0217 14.92153 -19.337040198843674
51989 0.018 14.71905 -19.1391603923304
47604 0.05 22.07652 -13.827484289174398
50207 0.05 15.77059 -20.236029625899413
51750 0.0254 15.27714 -19.298013848837012
50943 0.017 16.97453 -16.76858748528615
52007 0.013513 14.23047 -18.9767066231383
46790 0.02284 15.59943 -18.81617751616464
4322 0.023 15.96887 -18.42165454758841
806 0.051016 16.15716 -19.886377010210197
54551 0.082797 17.33247 -19.75287443874725
48595 0.02791 13.35244 -21.45591458971497
1554 0.0774 14.44495 -22.525699497590985
3918 0.085 16.65459 -20.495771917110897
52213 0.030027 14.96359 -20.000097482403728
55184 0.066877 17.43412 -19.183591148052955
52673 0.094 17.74298 -19.607301919778138
51345 0.0365 14.43384 -20.932887610808965
47973 0.026 14.17731 -20.46704761229219
52852 0.022 14.77735 -19.5163590782917
51734 0.025 14.92762 -19.62228361407597
48463 0.01751 19.25421 -14.576058897745538
47732 0.01751 19.25421 -14.576058897745538
55135 0.008087 16.39612 -15.690430952905439
479 0.069 17.35023 -19.338863900648427
441 0.092 16.97682 -20.342428132362418
49558 0.03 18.20579 -16.734322188620947
47955 0.013 12.33001 -20.877076100777128
47475 0.0136 12.33001 -20.97393617307384
48510 0.0048 12.19966 -18.82439154029223
50959 0.0123 18.82029 -14.286116862145107
50883 0.022 13.44216 -20.839734977941927
3906 0.04 16.69643 -18.916492043533907
46753 0.016 21.179 -12.414519133233798
48960 0.016 21.9725 -11.74664583049926
48149 0.0086 21.88194 -10.328788224331824
47966 0.005076 11.13833 -19.970949625957104
51883 0.052 15.63986 -20.456051130049733
52036 0.0256 14.82333 -19.809382709610166
47349 0.0044 22.55662 -8.246659024079063
49629 0.065 17.02457 -19.533533415766353
46714 0.01727 12.49424 -21.272182294511705
4313 0.092932 16.16894 -21.17246173092687
1821 0.028 15.31636 -19.490295104230796
47627 0.008933 17.3052 -15.070951357068404
50716 0.015 22.29126 -11.146009289268052
46868 0.011 13.70124 -19.070914260172906
52216 0.05 14.24235 -21.80265998335064
46465 0.0052 11.62746 -19.67107390081448
48680 0.027 14.95848 -19.75387479020597
50656 0.006521 21.75722 -9.832281380822371
50650 0.0065 21.75722 -9.825285316573876
52629 0.0064 21.75722 -9.79165716106094
47686 0.00645 24.80193 -7.017056913974591
52403 0.027823 17.46804 -17.29236477299879
55361 0.038517 16.25335 -19.242757952565977
48915 0.021 13.74926 -20.400374391218982
46294 0.00493 12.48982 -18.55962930898938
49528 0.024 20.72673 -13.64462371778803
48601 0.00629 11.3987 -20.11128963368384
52107 0.031422 13.69942 -21.355569221389143
51114 0.0236 19.47167 -15.028675411374223
52615 0.02358 19.47167 -15.026901572855802
51085 0.0161 14.84553 -18.7090078281672
54494 0.02417 16.37151 -18.1051085413144
50243 0.03 16.71355 -18.184759964506256
50779 0.0124 15.30456 -17.715177982569173
52469 0.012469 13.64754 -19.41530416088507
51986 0.0297 14.33989 -20.60098600833749
46279 0.026 16.75154 -17.76296724099704
54296 0.01814 16.87214 -16.98829327786217
52339 0.04288 16.46667 -19.200911180941304
51978 0.0416 14.25185 -21.37368155269402
46349 0.018 14.40508 -19.39232356153357
46480 0.01057 18.77334 -13.85814902063343
53314 0.024 17.64511 -16.774083671167627
50241 0.03 16.51836 -18.401464299572414
49662 0.016866 13.7917 -19.922455930401355
52177 0.016872 13.7917 -19.92322024501616
48056 0.0235 13.55211 -20.86320081383971
49190 0.015527 12.87033 -20.685605527140044
51145 0.0722 12.20402 -24.596462044155654
47014 0.00979 14.06833 -18.466010616460654
47050 0.00979 14.06833 -18.466010616460654
53982 0.048 17.40418 -18.53982851495237
47996 0.007122 12.6898 -19.182110738990488
46111 0.00727 12.6898 -19.22657661217529
52547 0.0137 14.0732 -19.163450419186038
48884 0.047 14.70315 -21.207378212863183
47132 0.048 15.89367 -20.079678114225263
4254 0.069954 16.34161 -20.40948302503878
54295 0.04797 15.41411 -20.532142048856418
48977 0.02173 13.59318 -20.65071313153886
47296 0.0099 14.13497 -18.429533895085505
48838 0.025114 13.50321 -21.099532878344494
51482 0.0291 12.96581 -21.94893817103216
50097 0.029 12.96581 -21.941651978870247
51313 0.0248 14.10429 -20.421927119271892
46384 0.014 13.31872 -20.012408584897013
47914 0.014 13.31872 -20.012408584897013
52557 0.0223 14.03489 -20.281138720246112
50567 0.0224 14.03489 -20.290624312630822
52674 0.062 16.38588 -20.12671213626312
52652 0.029 14.67415 -20.19940473107039
48937 0.023 14.86808 -19.48151173237585
49053 0.02627 15.5441 -19.114073957179404
25389 0.03976 15.00419 -20.561195728352185
11403 0.04 17.02824 -18.506957087691813
440 0.0639 17.21167 -19.3282605689309
471 0.048 16.66503 -19.24605985342515
51666 0.0138 15.52569 -17.798037951655537
52573 0.011 24.80216 -7.9043860477654055
46877 0.01097 12.94423 -19.84356978336489
47972 0.02597 13.25705 -21.411699011026016
49172 0.01388 13.32249 -19.96831904856055
48954 0.01388 13.32249 -19.96831904856055
46558 0.0071 11.49945 -20.378146514931178
