ID,SpecObjID,photoObjID,hostra,hostdec,SDSSra,SDSSdec,SDSSredshift,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z
51570,468488740839385088,1237666302168334489,55.18333,1.056389,55.185048,1.0565635,0.02393052,17.30342,15.55941,14.69179,14.29848,13.98337,0.06494842,0.02807488,0.0258582,0.01689464,0.02219309,0.4334081,0.3377087,0.2336253,0.1736086,0.1291329
50391,468458504269621248,1237657586030018573,54.0181,-0.199799,54.018114,-0.19978186,0.1274021,18.27967,17.35757,16.63833,16.17933,15.89748,0.09521715,0.1423916,0.2090872,0.1816217,0.1288878,0.4950647,0.3857511,0.2668608,0.1983062,0.1475034
42288,468389235037071360,1237663237667815616,56.0765,-0.635058,56.07652,-0.63505184,0.05290184,19.36075,18.15922,17.4568,17.03911,16.76634,0.0945784,0.01656062,0.02046645,0.01699836,0.0342588,0.4165497,0.3245727,0.2245379,0.1668557,0.12411
41744,467419465764595712,1237663239277773136,54.4933,0.483262,54.493283,0.48325728,0.3226457,21.14669,20.50873,18.54846,17.92686,17.56298,0.3920876,0.1064115,0.03195037,0.02855961,0.07319412,0.3286778,0.2561035,0.1771712,0.1316572,0.09792879
50346,467346348241348608,1237663238739985091,52.4618,0.05449261,52.461802,0.05443986,0.03709515,19.55215,18.22857,17.73558,17.47101,17.83971,0.3030252,0.03787109,0.02955919,0.04632188,0.2956094,0.4493485,0.3501293,0.2422179,0.1799938,0.1338823
45676,467291372659959808,1237660240852156643,53.7465,0.0006207639,53.746478,0.00064626492,0.1263489,19.14009,18.00471,17.29977,16.89635,16.62632,0.1070859,0.01643824,0.01348052,0.01344501,0.04030014,0.5420947,0.4223965,0.2922119,0.2171448,0.1615158
52546,465159694676158464,1237663238739198066,50.69584,0.1494444,50.696777,0.14935689,0.02283079,15.92152,14.59563,13.94858,13.61742,13.43024,0.02399532,0.003953265,0.003724784,0.004244372,0.01133172,0.529398,0.4125034,0.2853679,0.2120589,0.1577329
43201,465150348827322368,1237666301092364549,50.1567,0.342964,50.154161,0.34065253,0.06740281,19.24584,17.69513,17.02562,16.63174,16.5091,0.08929458,0.01604312,0.01122854,0.01237978,0.035338,0.4119247,0.3209689,0.2220448,0.1650031,0.122732
25347,464017034548635648,1237666302165123206,47.81917,1.183333,47.819201,1.1900728,0.02722584,17.29999,16.15455,15.77109,15.56315,15.43764,0.03722933,0.006617465,0.007578769,0.009837454,0.02528699,0.4276933,0.3332557,0.2305448,0.1713195,0.1274302
40440,463984598955616256,1237666301628055731,47.4135,0.655479,47.413488,0.6554818,0.1082477,19.77309,18.55004,17.50659,17.10222,16.69099,0.1668836,0.04831266,0.01802891,0.01674099,0.04001734,0.4469391,0.3482519,0.2409191,0.1790287,0.1331645
45144,463947215560271872,1237663783681065178,46.9908,-0.236901,46.990787,-0.23689974,0.08702172,18.81067,17.69654,17.09854,16.75913,16.65156,0.05490686,0.009684634,0.008983545,0.00978843,0.03495099,0.2909704,0.2267222,0.1568454,0.1165529,0.08669396
50274,463898287292835840,1237663783144587486,47.8891,-0.742906,47.889075,-0.7428796,0.02823051,17.14779,15.77945,15.34992,15.14868,14.65276,0.05353346,0.007663928,0.007409883,0.009203565,0.0206741,0.2737578,0.2133102,0.147567,0.1096581,0.08156549
49305,463892514856790016,1237660240312991795,48.4494,-0.2433,48.44938,-0.24329975,0.02518013,21.11549,20.07049,19.75968,19.64917,19.86221,0.1911965,0.0463012,0.05920004,0.07787447,0.251531,0.4057387,0.3161488,0.2187103,0.1625252,0.1208889
42426,462843298487232512,1237660241385029860,44.6341,0.459847,44.628527,0.46051176,0.1346673,21.07247,18.29989,17.40178,17.1101,16.73277,0.5829754,0.02048013,0.01404304,0.01952689,0.04438886,0.3435794,0.2677147,0.1852038,0.1376263,0.1023687
43969,462823232400025600,1237660024523522144,45.1001,-1.13397,45.100064,-1.1339773,0.03734176,17.53591,16.5484,16.26471,16.04642,15.93464,0.0255411,0.005759779,0.006990189,0.008811748,0.02737186,0.4266486,0.3324417,0.2299817,0.170901,0.127119
49477,462811962405840896,1237660024523718855,45.5475,-1.16658,45.547476,-1.1665568,0.01360661,19.28443,18.21131,17.7229,17.51208,17.40851,0.2092321,0.03969329,0.0345122,0.05118573,0.1793876,0.4567424,0.3558906,0.2462035,0.1829556,0.1360853
52199,460651972719044608,1237678617436422390,42.42916,0.7597222,42.428218,0.75990896,0.03522976,18.90313,17.82798,17.34005,17.10031,16.84785,0.1256106,0.02115166,0.01872285,0.02482563,0.07207517,0.2392322,0.1864081,0.1289563,0.09582832,0.07127866
41956,460628608096954368,1237663784215838969,42.1976,0.05306589,42.19754,0.0530707,0.1749162,20.13705,18.44867,17.57007,17.21661,17.04082,0.2771024,0.02705675,0.0163978,0.02140721,0.07784525,0.2000004,0.1558389,0.1078086,0.08011338,0.05958964
42497,460596447381841920,1237678617435832470,41.1849,0.784928,41.184909,0.78492109,0.07912778,17.59714,16.24283,15.53993,15.11925,14.83891,0.03428239,0.005494296,0.004604197,0.005209436,0.01154591,0.1474005,0.1148535,0.07945511,0.05904366,0.04391764
42282,460568134957426688,1237657070091501786,41.4315,-0.539311,41.431522,-0.53931661,0.0427562,17.0406,15.83152,15.24917,14.93152,14.96524,0.05279047,0.007552073,0.008037402,0.01956543,0.03815484,0.1471764,0.1146789,0.07933431,0.05895389,0.04385087
492,459534318310549504,1237678617435766866,41.01596,0.7748889,41.015959,0.7748909,0.04520764,17.15613,15.65029,14.89502,14.54629,14.32972,0.05008667,0.007165644,0.004501652,0.005560992,0.01169655,0.1351097,0.1052766,0.07282984,0.05412038,0.04025562
48920,459528545874503680,1237666408460320827,40.8804,0.3068056,40.880457,0.30682106,0.0266695,15.99133,14.16969,13.31166,12.83462,12.58246,0.02939626,0.009322808,0.007739715,0.007625157,0.005012657,0.1588107,0.1237442,0.08560567,0.06361419,0.04731727
48178,459368017176848384,1237657584950378630,40.63334,-1.015278,40.63219,-1.0154644,0.037891,17.17894,15.9535,15.3732,15.02444,14.78147,0.03291977,0.006160162,0.0050172,0.005576779,0.0140355,0.14187,0.1105442,0.07647394,0.05682833,0.04226984
45059,458415290334603264,1237663784751202448,38.6722,0.562185,38.672231,0.56218304,0.1410293,19.67442,18.4718,17.72939,17.31931,17.11242,0.1276993,0.02253218,0.01717464,0.01909756,0.05296087,0.09571136,0.07457764,0.05159247,0.03833873,0.02851697
47889,458323206235777024,1237663782602997988,37.04167,-1.184167,37.03564,-1.1798576,0.06854001,20.29942,18.30375,17.399,16.96626,16.63668,0.08915854,0.009740376,0.007067702,0.007278006,0.01544979,0.1461704,0.113895,0.07879203,0.05855092,0.04355113
51324,1071924646573533184,1237655107301277785,172.1333,58.56222,172.12829,58.561843,0.009989776,13.98706,12.96517,12.49121,12.08531,11.8507,0.02810417,0.01307776,0.01699987,0.01189156,0.0110217,0.07061797,0.05502504,0.03806607,0.02828717,0.02104046
51325,1071924646573533184,1237655107301277785,172.1333,58.56222,172.12829,58.561843,0.009989776,13.98706,12.96517,12.49121,12.08531,11.8507,0.02810417,0.01307776,0.01699987,0.01189156,0.0110217,0.07061797,0.05502504,0.03806607,0.02828717,0.02104046
49183,1071924646573533184,1237655107301277785,172.1333,58.56222,172.12829,58.561843,0.009989776,13.98706,12.96517,12.49121,12.08531,11.8507,0.02810417,0.01307776,0.01699987,0.01189156,0.0110217,0.07061797,0.05502504,0.03806607,0.02828717,0.02104046
47558,1071924646573533184,1237655107301277785,172.1333,58.56222,172.12829,58.561843,0.009989776,13.98706,12.96517,12.49121,12.08531,11.8507,0.02810417,0.01307776,0.01699987,0.01189156,0.0110217,0.07061797,0.05502504,0.03806607,0.02828717,0.02104046
47414,1071924646573533184,1237655107301277785,172.1333,58.56222,172.12829,58.561843,0.009989776,13.98706,12.96517,12.49121,12.08531,11.8507,0.02810417,0.01307776,0.01699987,0.01189156,0.0110217,0.07061797,0.05502504,0.03806607,0.02828717,0.02104046
47007,1071924646573533184,1237655107301277785,172.1333,58.56222,172.12829,58.561843,0.009989776,13.98706,12.96517,12.49121,12.08531,11.8507,0.02810417,0.01307776,0.01699987,0.01189156,0.0110217,0.07061797,0.05502504,0.03806607,0.02828717,0.02104046
47000,1071924646573533184,1237655107301277785,172.1333,58.56222,172.12829,58.561843,0.009989776,13.98706,12.96517,12.49121,12.08531,11.8507,0.02810417,0.01307776,0.01699987,0.01189156,0.0110217,0.07061797,0.05502504,0.03806607,0.02828717,0.02104046
50676,1074121745616627712,1237655106766766185,182.4458,58.84917,182.44717,58.849185,0.006332713,16.34016,14.73741,14.31212,14.16771,14.18383,0.03978053,0.007224025,0.004093798,0.005414348,0.01391996,0.08316208,0.06479933,0.04482788,0.03331192,0.02477795
50925,1074121745616627712,1237655106766766185,182.4458,58.84917,182.44717,58.849185,0.006332713,16.34016,14.73741,14.31212,14.16771,14.18383,0.03978053,0.007224025,0.004093798,0.005414348,0.01391996,0.08316208,0.06479933,0.04482788,0.03331192,0.02477795
48931,1084271891201419264,1237658611979321443,164.0417,47.39222,164.04008,47.392494,0.0214892,16.31207,14.9208,14.24104,13.8713,13.66653,0.02918079,0.003722973,0.003978338,0.004456736,0.0100333,0.08386859,0.06534984,0.04520872,0.03359492,0.02498845
46558,1086577288767629312,1237658203969880124,168.5458,48.32,168.54539,48.318524,0.00702235,14.08566,12.30768,11.49945,11.07346,10.75552,0.007891847,0.004680673,0.003852897,0.002896639,0.004332928,0.06225913,0.04851189,0.0335603,0.0249389,0.01854996
1361,1087727106474928128,1237658205044342920,170.7915,49.37642,170.79153,49.376427,0.09919587,18.16257,17.36201,17.21309,16.91964,17.10007,0.03359043,0.01367954,0.01518941,0.02116084,0.06065858,0.05896475,0.04594494,0.03178449,0.02361928,0.01756841
