# ID SN_Type SN_RA SN_Dec Redshift Kind_z Host_Name Host_RA Host_Dec vflag rmag AbsMag
44 "II Pec" 70.971625 -9.703111111111111 0.026 -999 "GALEXASC J044353.08-094205.8, GALEXASC J044353.08-" 70.97116666666666 -9.701611111111111 9 -999.0 -999.0
45 II 52.74645833333333 -18.556441666666668 0.025451 -999 "2MASX J03305920-1833266" 52.746666666666655 -18.55738888888889 9 -999.0 -999.0
46 II 289.8895416666666 -33.76722222222222 0.006929 -999 "HIPASS J1919-33" -999.0 -999.0 9 -999.0 -999.0
47 II 341.3050833333333 -22.727727777777776 0.010207 -999 "ESO 534-G024, ESO 534- G 024" -999.0 -999.0 9 -999.0 -999.0
48 IIb 21.400374999999997 -41.46551111111111 0.021638 -999 "ESO 296-G027" -999.0 -999.0 9 -999.0 -999.0
49 IIn 152.0343333333333 19.29982777777778 0.033574 -999 "SDSS J100807.76+191758.2" 152.0323333333333 19.299500000000002 1 16.64836 -18.365758945103703
50 II 0.9052083333333333 -34.55672222222222 0.02894 -999 "GALEXASC J000337.23-343323.1" 0.905125 -34.556416666666664 9 -999.0 -999.0
51 Ib 307.38762499999996 -61.950950000000006 0.015 -999 "GALEXASC J202933.17-615703.5" 307.38820833333335 -61.95097222222223 9 -999.0 -999.0
52 "II P" 351.89833333333326 29.40865833333333 0.016 -999 "2MASX J23273537+2924275" 351.89737499999995 29.407638888888886 9 15.80211 -17.60259342791926
53 IIb 338.5107499999999 -32.39821666666666 0.0126 -999 "2MASX J22340166-3223490" 338.5069166666666 -32.39694444444444 9 -999.0 -999.0
54 IIn 203.72697083333333 10.98463611111111 0.061 -999 "GALEXASC J133454.49+105906.7" 203.72704166666665 10.985194444444444 1 19.53175 -16.779002689693474
55 Ic 85.02162916666666 -80.37295277777777 0.02 -999 "2MASX J05395948-8022191" 84.99783333333333 -80.37197222222221 9 -999.0 -999.0
56 "IIn Pec" 8.534166666666666 -29.557222222222222 0.038 -999 "GALEXASC J011659.34-045630.6" 19.247249999999998 -4.941833333333333 9 24.80208 -10.480941497723688
57 IIn-09ip 334.95599999999996 -40.667899999999996 0.010783 -999 "ESO 344-G021" -999.0 -999.0 9 -999.0 -999.0
58 Candidate 315.5901916666666 -54.58973888888889 0.0434 host "ESO 187- G 047, ESO 187-G47, ESO 187-G 047" -999.0 -999.0 9 -999.0 -999.0
59 II 359.50344166666656 -41.53396111111111 0.023446 host "ESO 293- G 022, ESO 293-G22, ESO 293-G 022" -999.0 -999.0 9 -999.0 -999.0
60 Candidate 289.0859583333333 -60.19846944444444 0.013716 host "IC 4836" -999.0 -999.0 9 -999.0 -999.0
61 Candidate 353.3018916666666 -60.57475 0.014827 host "2MASX J23331223-6034201" 353.3009583333333 -60.572250000000004 9 -999.0 -999.0
62 Candidate 16.136049999999997 -54.637569444444445 -999.0 -999 "2MASX J01043245-5438119" 16.13520833333333 -54.63663888888889 -999 -999.0 -999.0
63 Candidate 79.23017083333332 -38.66106111111111 -999.0 -999 "2MASX J05165462-3839357" 79.22758333333333 -38.65991666666667 -999 -999.0 -999.0
64 "Ic BL" 90.24554166666667 -17.992219444444444 0.0221 -999 "2MASX J06005908-1759313" 90.24616666666665 -17.99202777777778 9 -999.0 -999.0
65 Ibn 227.9278708333333 6.4198611111111115 0.031916 host "SDSS J151142.60+062511.9" 227.92749999999998 6.419972222222222 0 16.59179 -18.31235579664487
66 Candidate 336.0909708333333 -33.69246111111111 0.011191 host "NGC 7267" -999.0 -999.0 9 -999.0 -999.0
67 Candidate 72.47697083333333 -41.93835 0.019657 host "ESO 304- G 024, ESO 304-G24, ESO 304-G 024" -999.0 -999.0 9 -999.0 -999.0
68 Candidate 358.41844999999995 -34.07431944444445 0.056 host "2MASS J23534025-3404302" 358.4177083333333 -34.07505555555556 9 -999.0 -999.0
69 Candidate 100.66287083333333 -53.24036944444445 0.027012 -999 "6dF0642388-531423, 6dF J0642387-531423" 100.66124999999998 -53.23972222222222 9 -999.0 -999.0
70 Candidate 67.2558 -61.280338888888885 0.064 host "GALEXASC J042901.67-611651.0" 67.25695833333332 -61.280833333333334 9 -999.0 -999.0
71 Candidate 31.08960833333333 -53.47638888888889 -999.0 -999 "GALEXASC J020422.26-532846.9, LEDA 429512" 31.092750000000002 -53.47969444444445 -999 -999.0 -999.0
72 Candidate 96.32085 -85.69826111111111 0.041665 host "2MASX J06253176-8541548" 96.38233333333332 -85.69855555555556 9 -999.0 -999.0
73 Candidate 50.72512499999999 -36.76476944444445 0.041062 -999 "ESO 357-24, ESO 357-G24, ESO 357-G 024" -999.0 -999.0 9 -999.0 -999.0
74 Candidate 314.67287916666663 -54.185919444444444 0.044107 host "ESO 187- G 038, ESO 187-G38, ESO 187-G 038" -999.0 -999.0 9 -999.0 -999.0
75 II 94.09275 -21.359911111111114 0.009143 host "NGC 2207" -999.0 -999.0 9 -999.0 -999.0
76 Candidate 343.12232083333333 -11.090411111111111 0.025271 host "2MASX J22522926-1105320" 343.1219166666666 -11.092222222222222 9 -999.0 -999.0
77 Candidate 244.9918958333333 -1.1747472222222224 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
78 Candidate 179.38309999999998 0.816625 0.06227 host "SDSS J115731.45+004901.6" 179.38104166666662 0.8171111111111111 1 16.42431 -19.93118784324664
79 Candidate 209.10155833333332 -0.24855555555555556 0.02975 host "NGC 5366" -999.0 -999.0 2 -999.0 -999.0
80 Candidate 14.34612083333333 14.326383333333332 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
81 Candidate 21.590633333333333 -1.2744 -999.0 -999 "LEDA 73961" -999.0 -999.0 -999 -999.0 -999.0
82 Candidate 11.947116666666666 -9.378408333333335 0.013963 host "MCG -02-03-018, MCG -02-03-18" -999.0 -999.0 9 -999.0 -999.0
83 Candidate 166.90341666666666 1.491363888888889 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
84 Candidate 43.70199999999999 -7.293152777777777 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
85 Candidate 204.62057083333332 2.5287055555555553 0.017996 host "SDSS J133829.08+023142.0" 204.62116666666665 2.5283333333333333 1 18.73739 -14.922593437107285
86 Candidate 146.50661666666667 58.96780277777778 -999.0 -999 "2MASX J09460071+5858042" 146.50295833333334 58.96783333333334 -999 16.68217 nan
87 Candidate 36.13279999999999 -9.0935 0.052 host "SDSS J022432.65-090549.1" 36.136041666666664 -9.096972222222222 9 16.58146 -19.382660232813635
88 Candidate 155.37579999999997 1.0748 0.10975 host "2MASX J10213013+0104242" 155.37554166666663 1.073388888888889 9 16.3653 -21.220826159210436
89 Candidate 154.8702708333333 2.8888861111111113 0.161 host "SDSS J101928.41+025319.8" 154.868375 2.8888333333333334 9 17.01744 -21.40079289479889
90 Candidate 341.53021249999995 -10.367736111111112 -999.0 -999 "IC 1451" -999.0 -999.0 -999 -999.0 -999.0
91 Candidate 228.63718749999995 1.512825 -999.0 -999 "SDSS J151432.68+013045.2" 228.63616666666664 1.5125555555555557 -999 19.85692 nan
92 Candidate 251.75077916666666 39.05996388888889 0.02922 host "2MASX J16470079+3903403" 251.75329166666666 39.06119444444444 2 14.63783 -20.074674572631025
93 Candidate 155.80539999999996 4.594161111111111 0.06424 host "2MASX J10231308+0435387" 155.80449999999996 4.594083333333333 1 16.12016 -20.302971175992766
