# ID SN_Type SN_RA SN_Dec Redshift Kind_z Host_Name Host_RA Host_Dec vflag rmag AbsMag 
3759 Candidate 161.19737499999997 53.66524166666667 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3760 Candidate 155.071275 53.35491388888889 -999.0 -999 -999 -999.0 -999.0 9 -999.0 -999.0
3761 Candidate 249.12072500000002 12.090747222222223 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3762 Candidate 114.42521666666666 -2.961755555555556 -999.0 -999 -999 -999.0 -999.0 0 -999.0 -999.0
3763 Candidate 168.12316249999998 5.051233333333333 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3764 Candidate 167.32522083333333 49.798138888888886 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3765 Candidate 161.5986375 7.584544444444444 0.057877 -999 "CGCG 038-010" -999.0 -999.0 -999 -999.0 -999.0
3766 NT 179.57509166666665 10.056291666666667 0.069954 -999 "2MASX J11581803+1003229" 179.57512499999996 10.056361111111112 -999 -999.0 -999.0
3767 Candidate 133.8569083333333 -24.634469444444445 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3768 Candidate 212.14518749999996 26.034480555555557 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3769 Candidate 45.74622916666666 9.395405555555556 -999.0 -999 -999 -999.0 -999.0 9 -999.0 -999.0
3770 Candidate 198.7136958333333 21.588224999999998 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3771 Candidate 106.72115416666665 33.30982777777778 0.0883 -999 "B2 0703+33" -999.0 -999.0 -999 -999.0 -999.0
3772 Candidate 121.81902083333331 14.951033333333333 0.029644 -999 "CGCG 088-035" -999.0 -999.0 -999 -999.0 -999.0
3773 Candidate 253.21919999999997 36.01596388888889 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3774 Candidate 249.96978749999997 28.819469444444444 -999.0 -999 -999 -999.0 -999.0 0 -999.0 -999.0
3775 Candidate 169.30359166666665 -13.212152777777778 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3776 Candidate 114.06835416666665 15.152605555555557 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3777 Candidate 50.76984999999999 24.521844444444444 -999.0 -999 -999 -999.0 -999.0 9 -999.0 -999.0
3778 Candidate 229.13367499999998 66.43738611111111 -999.0 -999 -999 -999.0 -999.0 0 -999.0 -999.0
3779 Candidate 73.31270833333332 4.699163888888889 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3780 Candidate 100.18957916666666 69.74843888888888 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3781 Candidate 153.41098749999998 52.43447222222222 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3782 Candidate 196.30211666666665 56.390233333333335 0.101519 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3783 Candidate 232.62432499999997 66.28605833333333 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3784 Candidate 205.24375416666663 43.853119444444445 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3785 Candidate 68.5561125 -0.5264416666666667 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3786 Candidate 110.03922499999997 54.79819722222222 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3787 Candidate 21.84553333333333 -2.4324416666666666 0.081153 -999 "2MASX J01272236-0225445" 21.843166666666665 -2.429027777777778 -999 -999.0 -999.0
3788 Candidate 227.71721249999996 70.11532777777778 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3789 Candidate 256.84838749999994 58.457663888888895 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3790 Candidate 249.49000416666664 27.75825 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3791 Candidate 237.18258749999998 25.635691666666666 0.04311 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3792 Candidate 82.13600833333332 -8.189591666666667 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3793 Candidate 178.23883333333333 -2.887183333333333 0.087706 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3794 Candidate 192.4733125 -4.175980555555556 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3795 Candidate 204.88426666666666 29.733361111111112 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3796 Candidate 226.40438333333333 9.007516666666668 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3797 Candidate 212.21446249999997 8.264413888888889 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3798 Candidate 250.3894708333333 28.840502777777775 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3799 Candidate 163.2978333333333 -6.843216666666667 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3800 Candidate 175.44617916666664 -11.036630555555556 0.021675 -999 "MCG -02-30-15" -999.0 -999.0 -999 -999.0 -999.0
3801 Candidate 168.00901249999998 -20.532180555555556 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3802 Candidate 175.6425458333333 -12.753419444444445 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3803 Candidate 239.22981249999998 12.808758333333333 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3804 Candidate 156.48487916666662 -46.63553611111111 -999.0 -999 -999 -999.0 -999.0 9 -999.0 -999.0
3805 Candidate 89.97440416666666 36.03627777777778 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3806 Candidate 78.3553125 46.75953888888889 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3807 Candidate 157.5570833333333 22.31688888888889 0.04 host "2MASX J10301410+2218512" 157.55874999999997 22.314222222222224 -999 -999.0 -999.0
3808 Candidate 194.4465083333333 17.152494444444443 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3809 Candidate 195.1989708333333 12.618011111111112 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3810 Candidate 226.83817916666663 -42.79935277777778 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3811 Candidate 235.32774166666664 -37.12290277777778 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3812 Candidate 220.61595416666663 17.31098888888889 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3813 Candidate 118.94895833333332 51.94233333333333 -999.0 -999 "SDSS J075549.24+515636.5" 118.95516666666666 51.94347222222222 -999 -999.0 -999.0
3814 Candidate 185.52891666666667 9.057005555555556 0.0036 host "NGC 4307" -999.0 -999.0 0 -999.0 -999.0
3815 Candidate 131.02599999999998 49.79380555555555 0.006 host "UGC 4551" -999.0 -999.0 -999 -999.0 -999.0
3816 Candidate 177.09066666666666 56.39521666666666 -999.0 -999 -999 -999.0 -999.0 0 -999.0 -999.0
3817 Candidate 150.63935833333332 68.05867222222221 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3818 Candidate 195.32995833333334 51.035352777777774 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3819 Candidate 229.2595333333333 41.198855555555554 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3820 Candidate 64.13817916666665 -30.547219444444448 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3821 Candidate 125.12150833333334 -21.577366666666666 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3822 Candidate 139.66595833333335 45.50691666666667 0.19 host "2MASX J09183959+4530234" 139.66495833333335 45.5065 -999 -999.0 -999.0
3823 Candidate 133.54749999999999 36.743005555555555 0.11667 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3824 Candidate 195.2037083333333 28.090666666666664 0.023149 host "IC 4045" -999.0 -999.0 -999 -999.0 -999.0
3825 Candidate 198.87541666666664 29.88975 0.092932 host "2MASX J13152957+2953168" 198.8732083333333 29.887999999999998 -999 -999.0 -999.0
3826 Candidate 10.583291666666664 41.22291666666667 0.000175 host M31 -999.0 -999.0 -999 -999.0 -999.0
3827 Candidate 252.04065416666663 16.369052777777778 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3828 Candidate 50.63838333333333 43.193691666666666 -999.0 -999 "2MFGC 02769" -999.0 -999.0 -999 -999.0 -999.0
3829 Candidate 253.88502083333336 26.161655555555555 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3830 Candidate 118.32912083333332 -44.166355555555555 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3831 Candidate 237.88979583333332 53.525549999999996 0.066698 -999 "FGC 235A" -999.0 -999.0 -999 -999.0 -999.0
3832 Candidate 217.36398749999998 62.19448055555555 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3833 Candidate 256.99699583333336 78.31032777777777 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3834 Candidate 182.8828333333333 16.28086111111111 0.023 host "2MASX J12113180+1616499" 182.8825 16.280527777777777 -999 -999.0 -999.0
3835 NT 123.49717499999998 21.58699722222222 0.179668 -999 "2MASX J08135929+2135128" 123.49704166666666 21.586888888888886 -999 -999.0 -999.0
3836 Candidate 120.4590875 3.420433333333333 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3837 Candidate 88.70767083333332 55.157624999999996 -999.0 -999 -999 -999.0 -999.0 9 -999.0 -999.0
3838 Candidate 139.96363333333332 -7.594886111111111 -999.0 -999 -999 -999.0 -999.0 9 -999.0 -999.0
3839 Candidate 162.22369583333332 75.15558611111112 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3840 Candidate 168.0602083333333 71.47741111111111 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3841 Candidate 156.20399999999998 50.087675000000004 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3842 Candidate 137.06193749999997 12.010658333333334 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3843 Candidate 152.44179583333332 7.159794444444445 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3844 Candidate 116.45168749999998 29.615997222222223 0.093523 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3845 Candidate 205.15939999999998 40.61128333333333 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3846 Candidate 210.1563958333333 22.90008333333333 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3847 Candidate 218.34854166666665 42.64521388888889 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3848 Candidate 198.80545416666664 18.159166666666664 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3849 Candidate 256.74631666666664 42.02747222222222 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3850 Candidate 248.8477458333333 20.946716666666667 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3851 Candidate 265.09729166666665 41.936375 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3852 Candidate 242.70597916666665 58.597575 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3853 Candidate 67.37801249999998 -0.5224083333333334 -999.0 -999 -999 -999.0 -999.0 9 16.26752 nan
3854 Candidate 238.54479999999998 2.5317333333333334 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3855 Candidate 198.04967916666664 57.023941666666666 0.078489 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3856 Candidate 223.21731666666665 14.976333333333333 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3857 Candidate 218.32248749999997 3.903488888888889 0.02958 -999 "UGC 9362" -999.0 -999.0 9 -999.0 -999.0
3858 Candidate 154.3262083333333 29.242844444444444 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3859 Candidate 152.22873749999997 37.65864722222222 0.05362 -999 -999 -999.0 -999.0 9 -999.0 -999.0
3860 Candidate 167.9873583333333 28.255805555555554 -999.0 -999 -999 -999.0 -999.0 1 -999.0 -999.0
3861 Candidate 192.0169125 18.976116666666666 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3862 Candidate 102.48813749999998 28.238241666666667 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3863 Candidate 153.54361666666665 42.396566666666665 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3864 Candidate 159.64009166666665 -7.170683333333334 0.007277 -999 "IC 630" -999.0 -999.0 2 -999.0 -999.0
3865 Candidate 190.99114999999998 -45.595866666666666 0.020034 -999 "ESO 268-G35" -999.0 -999.0 9 -999.0 -999.0
3866 Candidate 195.2116458333333 -8.92297222222222 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3867 Candidate 79.98553749999998 65.20575277777778 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3868 Candidate 111.78473333333332 62.44018333333333 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3869 Candidate 112.37715833333331 63.798922222222224 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3870 Candidate 143.7349833333333 62.65663333333333 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3871 Candidate 148.4860333333333 25.681172222222223 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3872 Candidate 161.2206083333333 46.74335555555556 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3873 Candidate 159.58479999999997 32.7457 0.083491 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3874 Candidate 163.38594999999998 -4.222969444444445 0.069788 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3875 Candidate 174.63792916666665 22.04353888888889 -999.0 -999 -999 -999.0 -999.0 9 -999.0 -999.0
3876 Candidate 191.78917499999997 47.955597222222224 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3877 Candidate 176.2319083333333 33.52857222222222 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3878 Candidate 156.55640416666665 21.662913888888887 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3879 Candidate 160.2520458333333 -3.4498972222222224 -999.0 -999 -999 -999.0 -999.0 0 -999.0 -999.0
3880 Candidate 151.1619333333333 15.182661111111111 -999.0 -999 -999 -999.0 -999.0 0 -999.0 -999.0
3881 Candidate 160.39884583333333 8.241294444444444 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3882 Candidate 155.2660083333333 30.648644444444443 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3883 Candidate 157.60602499999996 43.74200277777778 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3884 Candidate 11.784462499999998 -7.079363888888889 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3885 Candidate 204.9865458333333 43.06240277777778 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3886 Candidate 64.92294166666666 27.268449999999998 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3887 Candidate 39.4758625 43.302322222222216 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3888 Candidate 141.98189166666663 -19.16806111111111 -999.0 -999 -999 -999.0 -999.0 9 -999.0 -999.0
3889 Candidate 173.3026833333333 -13.338144444444445 0.016615 -999 "IC 706" -999.0 -999.0 -999 -999.0 -999.0
3890 Candidate 210.17327916666665 13.812319444444444 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3891 Candidate 215.3649708333333 18.491033333333334 0.077655 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3892 Candidate 167.40430833333332 -16.132502777777777 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3893 Candidate 250.80239166666658 77.72 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3894 Candidate 226.64778333333328 32.17621111111111 0.115935 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3895 Candidate 215.14364166666664 62.34608055555556 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3896 Candidate 203.0464833333333 -9.015372222222222 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3897 Candidate 200.1362625 -11.29668611111111 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3898 Candidate 9.353204166666666 -6.714311111111111 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3899 Candidate 279.8022249999999 66.82841388888889 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3900 Candidate 228.19851666666662 -6.8648388888888885 -999.0 -999 -999 -999.0 -999.0 1 -999.0 -999.0
3901 Candidate 247.5078625 31.767458333333334 -999.0 -999 -999 -999.0 -999.0 1 16.34161 nan
3902 Candidate 249.6584083333333 8.366744444444445 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3903 Candidate 279.229975 35.36472777777778 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3904 Candidate 263.28071666666665 11.48486111111111 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3905 Candidate 272.8208458333333 34.12152777777778 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3906 Candidate 264.11867083333334 17.380197222222222 -999.0 -999 -999 -999.0 -999.0 9 -999.0 -999.0
3907 Candidate 279.7887916666666 53.62206944444444 -999.0 -999 -999 -999.0 -999.0 1 -999.0 -999.0
3908 Candidate 264.90514166666657 12.626541666666666 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3909 NT 269.3552333333333 26.841080555555553 -999.0 -999 "2MASX J17572529+2650278" 269.3553749999999 26.841055555555556 -999 -999.0 -999.0
3910 Candidate 277.8164416666666 57.88415 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3911 Candidate 283.6892666666666 57.823463888888895 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3912 Candidate 271.1774458333333 17.93295277777778 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3913 Candidate 272.1705916666666 19.440427777777778 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3914 Candidate 259.654775 6.672705555555556 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3915 Candidate 277.12273333333326 28.917236111111112 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3916 Candidate 1.2530666666666663 6.743261111111111 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3917 Candidate 259.9780833333333 21.008352777777777 -999.0 -999 -999 -999.0 -999.0 9 -999.0 -999.0
3918 Candidate 180.73616666666663 -51.12880555555556 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3919 Candidate 269.459125 19.055205555555556 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3920 Candidate 249.27839583333332 13.466211111111111 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3921 Candidate 269.2784291666666 13.258472222222222 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3922 Candidate 84.38119166666667 -1.0592694444444446 -999.0 -999 -999 -999.0 -999.0 9 15.58275 nan
3923 Candidate 75.89577916666666 4.936483333333333 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3924 Candidate 91.53599583333332 47.011361111111114 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3925 Candidate 64.74735 1.5357805555555555 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3926 Candidate 138.46447499999996 -11.945277777777777 -999.0 -999 -999 -999.0 -999.0 1 -999.0 -999.0
3927 Candidate 67.65626666666665 35.84215833333334 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3928 IIn 207.68295833333332 -2.506947222222222 0.046663 -999 -999 -999.0 -999.0 2 -999.0 -999.0
3929 Candidate 59.57319999999999 7.919897222222223 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3930 Candidate 135.69268333333332 -20.725041666666666 0.0093 -999 "ESO 564-G11" -999.0 -999.0 -999 -999.0 -999.0
3931 Candidate 191.27901249999996 -3.3661527777777778 0.083558 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3932 Candidate 166.82407083333334 8.077238888888889 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3933 Candidate 31.759179166666666 29.512644444444444 0.1096 -999 "PGC 8076" -999.0 -999.0 -999 -999.0 -999.0
3934 Candidate 141.1588375 18.109769444444446 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3935 Candidate 120.32685416666666 20.36066388888889 -999.0 -999 -999 -999.0 -999.0 9 -999.0 -999.0
3936 Candidate 225.6293333333333 -17.145080555555555 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3937 Candidate 226.36347916666665 26.64547222222222 0.078039 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3938 Candidate 123.56217499999997 8.080472222222221 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3939 Candidate 213.75450416666664 -9.265883333333333 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3940 Candidate 184.89592083333332 -13.954308333333332 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3941 Candidate 183.51402499999998 -19.361736111111114 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3942 Candidate 133.13572083333332 72.46615 -999.0 -999 -999 -999.0 -999.0 0 14.96027 nan
3943 Candidate 98.58659166666665 40.40298611111111 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3944 Candidate 183.8225125 8.594652777777778 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3945 Candidate 119.86736249999998 -14.870138888888889 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3946 Candidate 120.40348750000001 -6.602641666666666 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3947 Candidate 60.972066666666656 71.84955833333333 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3948 Candidate 33.27370416666667 53.49693333333333 -999.0 -999 -999 -999.0 -999.0 -999 16.01325 nan
3949 Candidate 230.59506666666667 -8.48033611111111 -999.0 -999 -999 -999.0 -999.0 2 -999.0 -999.0
3950 Candidate 97.68485 -6.044880555555555 -999.0 -999 -999 -999.0 -999.0 1 -999.0 -999.0
3951 Candidate 128.18487916666666 15.310233333333334 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3952 Candidate 190.37057083333332 23.950652777777776 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3953 Candidate 276.3583958333333 8.179658333333332 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3954 Candidate 277.18303333333324 7.7939 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3955 Candidate 87.96924166666665 60.87869722222222 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3956 Candidate 214.12720833333333 8.045277777777777 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3957 Candidate 84.39393333333332 -28.524005555555554 -999.0 -999 -999 -999.0 -999.0 9 17.83875 nan
3958 Candidate 44.28600833333333 -6.142783333333334 -999.0 -999 -999 -999.0 -999.0 9 -999.0 -999.0
3959 Candidate 250.5986333333333 0.5839222222222222 -999.0 -999 -999 -999.0 -999.0 0 -999.0 -999.0
3960 Candidate 103.79587916666667 15.684372222222223 -999.0 -999 -999 -999.0 -999.0 1 16.16894 nan
3961 Candidate 139.55358333333334 53.72525 -999.0 -999 "SDSS J091812.71+534331.2" 139.55295833333332 53.72533333333334 9 -999.0 -999.0
3962 Candidate 48.19425416666666 1.1913333333333334 0.049186 -999 "KUG 0310+010" -999.0 -999.0 -999 -999.0 -999.0
3963 NT 292.5872208333333 58.98646111111111 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3964 Candidate 127.8497625 -12.626108333333335 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3965 Candidate 180.52442916666664 59.5936 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3966 Candidate 210.15335833333333 39.161386111111106 -999.0 -999 -999 -999.0 -999.0 2 -999.0 -999.0
3967 Candidate 271.194075 54.670605555555554 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3968 Candidate 251.76537916666666 32.36671944444444 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3969 Candidate 274.42522916666667 46.21011388888889 -999.0 -999 -999 -999.0 -999.0 0 15.96887 nan
3970 Candidate 224.6155833333333 47.363930555555555 0.088356 -999 -999 -999.0 -999.0 9 16.81281 -20.302473747261274
3971 Candidate 104.42142499999999 34.85557777777778 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3972 Candidate 120.88630833333333 -3.4014055555555553 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3973 Candidate 109.56742499999999 21.928316666666667 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3974 Candidate 110.35252499999997 18.372044444444445 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3975 Candidate 115.25793749999998 42.98548888888889 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3976 Candidate 126.9988208333333 36.801744444444445 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3977 Candidate 143.19017499999998 35.69877222222222 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3978 Candidate 148.24862499999998 7.0573805555555555 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3979 Candidate 150.02449999999996 7.856644444444444 -999.0 -999 -999 -999.0 -999.0 0 -999.0 -999.0
3980 Candidate 158.95478749999998 64.94783611111112 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3981 Candidate 160.3126333333333 -4.400941666666667 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3982 Candidate 17.9775 11.501527777777778 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3983 Candidate 174.66897499999996 3.682513888888889 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3984 Candidate 254.10931666666661 33.07046944444445 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3985 Candidate 263.1308375 15.938538888888889 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3986 Candidate 275.7710833333333 52.34270277777778 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3987 Candidate 182.79525833333332 58.16718888888889 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3988 Candidate 135.68644166666667 17.710105555555554 0.052474 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3989 Candidate 180.86783333333332 51.71555 0.060893 -999 "MCG +09-20-74" -999.0 -999.0 -999 -999.0 -999.0
3990 Candidate 133.41632083333332 10.456913888888888 -999.0 -999 -999 -999.0 -999.0 0 -999.0 -999.0
3991 Candidate 289.5506166666666 34.87634166666667 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
3992 Candidate 132.4647958333333 22.57850277777778 -999.0 -999 -999 -999.0 -999.0 0 -999.0 -999.0
3993 Candidate 129.78441666666666 44.42091666666666 -999.0 -999 "2MASS J08390829+4425141" 129.78454166666666 44.42058333333333 -999 -999.0 -999.0
3994 Candidate 166.06971249999998 -10.268916666666668 -999.0 -999 -999 -999.0 -999.0 1 -999.0 -999.0
3995 Candidate 174.81810833333333 -15.36411388888889 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
