ID,hostra,hostdec,petroMag_r
43580,335.797,-1.22663,18.17409
43578,335.168,-1.20133,19.94637
41688,330.08,-1.05161,20.0167
49510,322.9542,-1.069167,21.06524
42179,321.509,-1.05315,20.253
41992,316.565,-1.06635,19.12993
40881,313.597,-1.16154,17.90034
41991,312.9753,-1.050101,20.12311
54382,269.4196,50.0317,16.16535
46954,266.4458,60.89667,20.6184
48381,256.3542,75.40722,13.32692
51520,269.8125,45.8875,17.98054
41799,30.0164,0.776384,21.98132
50170,267.0917,54.14917,21.93742
50971,267.0917,54.14917,21.93742
50692,264.6125,61.04,14.2872
51309,332.8458,-9.212222,19.89346
41800,31.2108,0.758655,17.02202
47964,262.5,60.35111,21.3113
48797,265.0708,51.02917,15.01413
51981,261.0333,58.995,14.19775
47967,261.034,58.9951,14.19775
2525,340.0883,14.51722,16.79648
16338,345.7979,14.69394,16.53657
47111,4.795792,15.1062,16.84237
52103,346.45,14.33222,16.27723
51258,3.245833,14.68917,20.84201
50918,330.456,13.05519,18.8129
48418,332.4792,12.085,21.75791
43481,326.555,1.02798,20.21659
43454,326.591,0.63108,18.36145
43052,326.1241,0.5957844,18.46062
42174,326.768,-0.265636,20.81198
45174,326.388,-0.25227,19.87193
40846,325.02,-1.02141,19.24111
48489,326.072,-0.242,19.59056
48352,224.3167,5.9,17.14378
50157,236.1833,4.470278,15.58017
46330,227.8792,5.243889,15.33515
52759,228.4763,4.757139,17.87842
503,229.9498,-2.1535,19.96927
52075,234.9417,-2.683333,20.9822
52233,216.1792,-3.212222,12.78301
47813,253.2458,2.400833,12.98411
52297,253.2458,2.400833,12.98411
51710,244.1833,0.2466667,20.93908
51771,247.9083,41.49361,14.18077
14408,255.1225,32.73267,16.26349
48912,250.7667,36.83306,18.14727
52567,226.124,2.330361,20.97984
46749,226.7833,1.544167,11.60676
47613,181.049,62.5053,12.99906
48348,189.2083,62.22028,23.40518
47059,180.55,62.13722,11.30834
51789,255.9208,32.76445,21.15516
47852,255.2625,33.47917,23.13765
46879,250.313,39.2901,15.77272
47960,250.313,39.2901,15.77272
50753,248.1583,41.45917,16.81563
55041,248.9761,40.03106,17.50571
52654,247.4097,40.23539,16.26913
52018,198.8792,62.12917,14.54642
47956,152.9917,58.86472,14.5565
48937,203.0667,60.39389,14.86808
50984,229.1292,54.45972,16.02021
47555,226.9667,54.75333,24.80194
49053,224.97,54.619,15.5441
52524,239.7625,51.30472,13.58898
48567,249.854,41.7936,17.58289
433,251.7533,39.0612,14.63783
53527,242.4319,48.03597,17.1974
51969,185.7,5.606667,15.54615
46870,173.168,5.3433,16.26729
48415,210.1917,4.561389,20.17769
52587,206.1417,4.775833,14.76099
47086,200.25,3.5974,17.85203
46778,187.92,3.9263,13.19738
22001,162.405,58.95301,18.98471
21722,162.3102,58.46745,20.6062
52325,150.4917,55.67972,11.02819
48021,150.4917,55.67972,11.02819
46592,169.925,59.29306,21.78066
51362,161.1583,57.81111,17.48466
36761,130.013,44.89433,22.90149
21566,129.3272,44.33558,22.03974
21897,162.3924,57.61562,20.80172
48299,153.925,55.6675,13.58267
55282,138.5994,49.59261,19.71698
21860,128.9857,43.49446,21.81925
47414,172.1333,58.56222,12.49121
47558,172.1333,58.56222,12.49121
49183,172.1333,58.56222,12.49121
47007,172.1333,58.56222,12.49121
47000,172.1333,58.56222,12.49121
51325,172.1333,58.56222,12.49121
51324,172.1333,58.56222,12.49121
21720,162.0976,57.1464,22.04302
50676,182.4458,58.84917,14.31212
50925,182.4458,58.84917,14.31212
51782,169.65,58,10.8827
46873,164.0042,57.11694,12.19937
50307,257.9167,36.50083,20.95332
812,247.164,49.16978,15.90057
49230,257.4292,36.41472,22.51667
48055,248.7875,46.21417,13.24102
51357,259.0458,31.79222,14.42388
51472,242.8292,53.6375,17.87885
42802,10.9101,-0.157369,20.898
21937,241.2338,54.87793,20.38327
21962,241.6174,53.8712,21.06153
52260,170.375,-3.517222,19.38597
50936,170.1625,-3.545556,14.89964
48128,210.3167,5.213333,18.62682
48918,218.351,4.4505,12.3035
48411,210.0292,4.9125,22.11723
50223,239.9208,2.284444,18.95992
47294,160.5083,0.03,15.3132
47952,158.4,0.2002778,19.2851
50252,160.575,-0.3766667,13.06142
49177,160.575,-0.3769,13.06142
47265,150.0083,-0.3916667,26.1972
47570,161.0333,-0.8177778,21.6935
50107,180.098,-1.1001,11.24826
753,153.6206,-1.231083,15.4214
51553,130.8417,45.73555,13.98178
21674,129.1871,44.55566,23.5148
25389,120.0248,36.74061,15.00419
46509,140.5083,50.97694,9.96596
44238,12.3777,0.265411,19.04962
44416,12.3826,0.405866,20.72172
46254,140.5083,50.97694,9.96596
47631,140.5083,50.97694,9.96596
7549,140.1435,50.69686,18.81042
21873,130.2323,44.79126,18.60369
51350,129.05,44.00694,22.21128
21679,131.8194,45.29786,21.36969
21870,130.216,44.11444,21.45432
21865,129.923,43.96442,20.41904
48700,224.5458,58.87194,21.07644
49574,198.1708,63.27917,23.95826
44861,1.04928,0.670045,19.51823
47087,188.141,63.8777,20.34714
47565,120.775,3.414167,22.04976
47380,124.6667,3.226667,25.04423
50666,184.9833,5.343333,11.75713
46122,184.984,5.3433,11.75713
434,155.8045,4.594083,16.12016
50099,150.133,4.4071,23.27379
56169,180.6513,4.549917,17.28776
51895,177,4.488056,12.82561
54372,172.5485,4.415583,16.05393
44507,5.84993,0.811245,18.26988
50997,168.4708,4.290833,22.4849
52042,153.4417,3.425,10.65915
21744,150.8098,3.144244,21.78364
21568,149.7495,3.15763,19.32225
48661,167.602,4.83,13.6892
51400,166.025,4.832778,19.81528
21714,150.1833,3.404269,20.94029
174,165.52,3.500861,17.99434
52675,158.5796,3.406361,16.41024
21844,149.6291,2.871022,21.95202
48464,183.8208,65.98556,23.11238
46722,161.654,63.2242,11.39418
48041,222.825,58.97805,13.35976
55588,124.7828,44.94672,17.98508
52442,142.55,55.8525,13.58565
47970,143.631,46.4616,14.99372
4310,139.665,45.5065,17.83875
49506,137.178,44.8107,14.30284
430,154.8684,2.888833,17.01744
21726,150.1152,2.693864,22.08217
22014,151.5654,2.406906,17.97922
22021,150.0061,2.431025,20.50587
56811,149.8673,2.320972,20.57923
56925,149.8525,2.328056,20.91155
21755,148.9883,2.263797,19.19362
39261,150.8063,1.895336,15.6902
21739,150.5391,1.898917,22.27864
56814,150.4137,1.883139,20.61894
37598,149.0729,2.002311,21.55234
49165,168.8708,60.75139,16.02263
52472,135.0833,52.49417,12.71045
47879,134.1792,52.10556,13.37589
52148,119.1488,39.90139,18.51582
43787,43.6216,0.221589,21.06375
50021,114.9625,34.95917,16.32797
48639,121.8375,40.39833,14.01871
48852,37.46667,-8.541111,22.04447
51567,40.06667,-8.776944,13.52866
49130,351.7667,-8.645833,18.55208
48855,351.9917,-8.953055,21.76359
48849,351.5125,-8.989445,15.37438
48499,352.75,-9.485278,21.75363
48850,352.7125,-9.476111,19.53246
44839,315.325,-0.850206,19.17752
49595,307.6792,9.190278,15.19734
47735,14.17917,-9.914166,12.41876
50754,14.17917,-9.914166,12.41876
52065,14.17917,-9.914166,12.41876
52560,14.17917,-9.914166,12.41876
52476,353.1,15.84778,23.93385
51780,352.7375,15.49056,19.83952
48077,325.595,12.4983,13.97297
52508,345.4708,14.41389,17.39139
52308,354.4417,14.70667,14.85162
52124,313.1083,-5.772222,19.32088
12833,325.9561,-8.073916,14.2447
49370,316.3375,-7.845833,21.73643
47945,55.17916,-6.415555,13.58046
46834,39.8719,-8.1345,12.35755
49079,351.7375,-9.621944,21.78316
50070,38.89167,-8.572778,21.22358
49085,37.17916,-8.906667,22.86718
50863,358.5292,-10.26194,21.93079
49170,32.4105,-10.1463,12.90496
47106,341.4208,-8.753333,23.79355
49252,315.5167,-6.296945,13.2316
51443,312.0583,-5.795,17.11346
51505,311.4167,-5.59,14.40899
50301,314.4792,-7.39,23.2009
53532,227.1782,4.146472,15.68505
47166,223.4917,3.544445,19.19646
51352,150.8576,1.028744,18.22887
51256,175.0792,3.000833,14.00285
21732,151.2328,2.58902,19.67875
56939,150.2621,2.658028,21.73772
56824,150.1522,2.577055,21.98913
56917,149.7471,2.489694,19.81096
426,204.6212,2.528333,18.73739
47624,195.164,2.5007,11.59654
51916,193.7125,2.654167,14.64437
49107,188.5375,2.653611,10.63553
46887,188.535,2.6538,10.63553
21843,150.9955,2.262878,20.80815
21916,150.7905,2.144136,19.96848
21922,150.5261,2.087686,21.03578
56916,150.4618,2.106389,20.57556
56922,150.5712,2.240556,24.83082
53292,134.748,44.83058,17.02961
56932,150.242,2.183194,22.51345
56823,149.9411,2.141083,22.28319
3758,131.9029,1.611111,17.96548
46770,193.3708,2.168333,11.2814
22023,151.3085,1.700683,22.30169
56935,150.4129,1.82,20.3661
22010,150.1735,1.831708,25.8385
56812,150.0921,1.765472,20.47073
56817,149.7021,1.771833,22.09747
21905,148.7918,1.730169,22.91358
502,219.5823,1.233528,18.02887
466,218.0979,1.28125,17.99687
1458,217.4525,1.336778,17.78166
51351,150.5417,1.233333,22.58241
21707,150.0875,1.417581,18.78179
464,180.7554,1.437972,16.81984
46820,148.226,42.848,13.07115
52556,148.225,42.84806,13.07115
47073,138.521,40.1137,12.13367
2524,119.6304,26.12119,17.30708
46558,168.5458,48.32,11.49945
51313,157.9375,46.67167,14.10429
46937,209.0708,47.23806,11.19127
1361,170.7915,49.37642,17.21309
50097,228.2792,41.26472,12.96581
51482,228.2792,41.26472,12.96581
48838,132.3458,36.71028,22.91472
47296,173.2333,50.24166,14.13497
477,151.6128,0.9647778,16.66456
2019,234.2251,2.463444,16.07486
50259,230.2875,2.440556,18.61942
46625,226.95,2.569167,11.76074
47834,240.3917,1.706944,12.84099
52444,219.0208,2.3425,20.50578
748,199.6207,2.684444,17.20641
46805,194.5917,2.793611,14.67556
51957,225.0042,1.891111,17.57327
49022,225.0042,1.891111,17.57327
46679,221.2333,1.954444,10.74227
51320,180.6917,2.401667,20.29109
56937,150.019,1.886083,22.57377
3944,214.4882,1.63075,16.43885
48320,203.128,1.8477,13.09959
46716,180.675,1.976944,11.72653
55789,246.4109,47.43731,19.16399
48725,197.6292,-21.66361,15.87677
53399,168.513,67.85794,16.0999
21955,242.1257,53.68559,17.06417
51480,240.3125,54.29805,25.17156
48025,233.5083,56.68611,11.84314
53889,111.9079,35.61047,20.76698
47628,260.6708,60.01028,14.96021
48576,162.1583,66.36222,13.3509
55589,119.0477,45.52731,18.96891
52413,121.7417,46.13945,15.2229
52264,130.3375,52.725,18.19049
52590,112.2208,33.81889,20.56173
52222,138.4792,55.78111,17.94434
48948,127.458,48.78,14.25094
49008,267.5583,14.28694,21.68581
46137,228.9708,56.32611,21.15388
47605,221.184,58.929,17.51291
53945,170.8786,63.36666,15.05832
48886,157.587,61.2637,14.85846
1457,175.2854,10.33736,16.40605
53549,259.8333,57.90039,15.06253
46697,122.7917,46.465,21.22482
52219,146.2833,58.66917,16.05543
4568,128.9273,49.11989,16.91579
11403,175.2608,65.04369,17.02824
47419,114.2333,35.2425,12.54539
47757,114.2333,35.2425,12.54539
52265,161.7125,-1.391389,13.9728
50964,148.8583,-1.4725,21.68626
50136,127.887,-1.197778,13.89019
50089,179.805,-1.6045,17.71553
49550,172.8833,-2.309167,12.93244
735,195.5339,-3.099056,16.24878
51739,184.0375,-3.57,14.28938
49216,194.3,-1.7067,13.36231
737,189.3787,-1.729917,15.8417
47999,171.3833,-1.733611,19.06152
50156,165.6708,-1.641944,23.91802
46339,170.9125,53.84222,12.39325
50570,189.5125,-2.263611,17.92911
734,178.96,-2.249417,19.6065
11333,177.6366,-2.1,22.61449
49729,179.0292,55.39083,13.34967
49220,155.9833,-3.183333,24.80212
54063,65.26967,-4.717972,17.13639
47577,64.44167,-4.835556,22.45316
49309,47.2,-7.040555,13.79036
50171,190.6792,55.14556,13.56454
49357,55.66667,-6.381945,13.61302
23203,50.27533,-7.282444,16.70886
48917,49.4726,-7.2978,12.91301
52332,49.47083,-7.297778,12.91301
48736,214.075,52.24861,18.95756
56853,214.0759,52.27391,20.28473
55252,65.57484,-5.466,15.80744
49663,29.89583,14.00833,12.87545
50326,21.7875,14.77583,16.8344
56834,214.5418,52.27772,21.56997
52130,69.04583,-5.081389,20.07248
50155,257.7542,24.51,21.4902
1456,153.2075,1.109972,15.97771
50131,124.3167,1.2075,14.68193
736,198.3561,0.6873611,17.55096
48713,189.798,0.7175,13.93589
419,179.381,0.8171111,16.42431
52635,173.423,0.7258889,22.24286
48287,173.09,0.8038889,16.04865
52744,225.9601,48.38075,16.97079
47847,239.35,41.90306,14.85382
52328,244.0375,38.54583,23.41673
49792,120.525,0.8083333,15.46769
50247,237.6458,43.77555,18.69085
50201,235.2583,0.2494444,22.21307
487,221.2173,0.3657778,15.32181
489,218.4077,0.2923611,19.57285
53445,183.1935,0.4090556,16.52935
52211,150.3,0.3294444,14.72249
48282,217.394,-0.0183,14.06819
465,215.549,-0.1312778,16.76493
46148,190.6333,-0.0825,12.07677
47142,187.2208,-0.07888889,21.44081
51609,174.7625,-0.2058333,13.73409
491,157.1782,-0.1444722,17.66911
752,148.4057,-0.04105556,17.26733
47286,179.7833,-0.5555556,23.03101
47569,160.5208,-0.4833333,22.17915
51259,127.2417,-0.5866666,26.71844
48666,196.911,-0.9424,13.62968
440,172.8231,-0.9746667,17.21167
48981,187.7833,0.6133333,13.34185
47049,187.7833,0.6133333,13.34185
47178,215.599,-0.3877,12.01711
48331,206.0375,-0.2158333,23.67633
47290,190.1625,-0.4005556,24.16308
47224,192.1458,-0.7675,22.06569
471,218.7242,-1.137167,16.66503
51794,212.3125,-1.181667,21.07204
48768,208.225,-1.114444,12.13714
1584,204.3881,-1.239694,17.40083
49617,197.421,-1.0483,14.98679
52624,80.74583,-0.1405556,13.84405
42620,57.072,0.979119,20.67638
50405,55.17916,1.003056,21.9845
45106,12.1113,-0.51944,19.07983
42905,11.5222,-0.526793,21.08288
49141,357.1042,1.063889,21.50212
41124,12.8223,-0.604989,21.24929
42471,13.1788,-0.552974,19.06857
45167,39.6403,-1.21903,17.95558
49335,13.4332,-0.559953,21.25207
43000,22.0758,-0.897314,18.87767
41288,41.6626,-1.12385,21.71889
40316,22.1725,-0.888534,16.75973
44892,23.466,-0.923716,20.31848
42016,24.7642,-0.952911,19.536
40781,25.9348,-1.04648,19.8472
45420,26.67376,-1.020631,19.60682
44796,29.2455,-0.938403,20.58449
43209,30.5898,-0.904877,17.68075
43567,30.5898,-0.904877,17.68075
41899,34.1415,-0.465564,19.4171
40711,35.2755,-0.576958,21.53875
45117,37.4115,-0.550028,20.08095
43031,37.9521,-0.49287,21.20666
42751,39.75083,-0.5457506,19.40073
40840,40.155,-0.552269,20.33637
44736,40.4418,-0.622182,19.51575
42944,40.795,-0.504716,18.61368
42282,41.4315,-0.539311,15.24917
47099,41.6057,-0.4993,11.1145
40966,21.9209,-0.144575,20.30075
44814,22.8792,-0.155112,22.77355
44117,23.5765,-0.02217561,19.64421
43769,41.2186,-0.107232,20.19801
41826,42.2079,-0.107411,22.0498
43771,42.2799,-0.159465,19.1212
44491,42.4724,-0.098234,20.05105
43018,42.6111,-0.101776,20.00885
40792,21.7201,0.336797,21.00457
40977,23.1078,0.245193,19.81436
43783,23.1404,0.412933,19.27432
44422,23.3811,0.311227,19.58939
41303,24.3727,0.209655,20.36326
43192,24.6849,0.376428,19.73518
50468,25.2316,0.218674,22.83662
49727,26.3007,0.356286,15.81316
41189,27.0392,0.295936,18.22709
45084,27.0024,0.304326,21.30897
45621,27.8287,0.327076,21.49178
41706,27.9996,0.301923,19.30835
44746,28.7951,0.267809,20.81779
43193,29.4177,0.327376,21.54295
41514,30.2805,0.268821,19.38953
44204,30.6519,0.220973,20.29764
43194,30.7579,0.357731,21.4055
44809,35.0694,0.411208,19.87594
45596,35.1095,0.227173,21.1448
49829,22.24583,0.7697222,21.95133
41796,24.3553,0.699376,20.35057
45527,24.97456,0.6915292,24.56689
40999,27.543,0.675903,21.07288
41798,27.9105,0.745144,19.92932
42764,28.2201,0.833872,21.26796
44628,29.2067,0.754265,20.66241
43323,29.9694,0.678988,19.34801
41713,30.2267,0.656749,20.91025
45378,30.3835,0.642551,20.76938
50311,30.8956,0.786658,19.13745
48181,31.0706,0.6527,17.52395
43363,31.1736,0.83274,20.45424
41983,32.1854,0.786282,15.71064
45403,32.3157,0.764724,17.94584
41195,32.5295,0.663823,18.88002
52003,130.8833,32.00444,21.73415
51038,174.4125,46.95389,15.29559
48884,179.5292,47.33472,14.70315
49830,32.7984,0.696697,18.67563
44782,32.92955,0.6882389,19.61887
41598,33.6634,0.69643,20.60584
47413,176.532,47.4948,11.07664
53313,151.0791,43.42381,21.6779
51576,145.7208,9.492778,20.63509
437,160.4014,11.07483,15.76897
51262,162.1167,12.53306,12.57949
44439,22.5071,1.08558,19.01436
45294,321.23,-0.99871,18.82412
44083,321.259,-1.00874,20.04545
43153,322.186,-0.846619,21.92532
42087,322.64,-0.843009,19.52565
43456,323.223,-0.947561,19.1122
45758,323.695,-0.879012,17.33724
45759,323.897,-1.02858,18.73334
49383,324.753,-1.02739,20.2278
44479,326.48,-0.921345,19.95461
40679,326.588,-0.924681,18.34756
41687,327.859,-0.849155,19.72253
42314,329.378,-0.928441,20.82286
45507,331.006,-0.895671,18.20269
41605,0.6063121,-0.918465,19.5872
41165,0.7077708,-0.954216,20.58695
44658,1.90611,-1.01858,20.50945
51503,4.358333,-0.9786111,13.99111
40448,4.92024,-0.956282,18.36817
41166,7.1489,-1.00371,21.5346
44388,8.15918,-1.0098,17.21365
43401,12.6663,-1.041979,18.52947
44991,12.58328,-0.9190389,21.65573
42350,13.131,-0.863392,20.793
44225,18.6167,-0.848536,17.10169
44662,21.1171,-1.02005,20.64208
45478,356.615,-0.531642,20.97241
41852,356.674,-0.61584,19.24294
43478,357.541,-0.524474,19.21115
41563,358.4292,-0.5790758,19.97885
53663,177.88,15.45764,21.55628
50691,187.15,15.58028,20.06158
44842,359.337,-0.553697,18.92465
52385,173.5875,15.66028,14.31549
41654,0.7207521,-0.501839,21.35492
48092,2.5276,-0.436,15.24281
50415,2.91657,-0.473939,15.35651
49762,3.17152,-0.534748,18.75255
49701,5.0032,-0.6254,16.87007
48390,50.95417,40.55778,13.24433
44574,7.48363,-0.455671,17.76245
44195,7.61336,-0.591496,18.37708
44261,7.61426,-0.453285,17.56638
52209,53.875,38.28305,22.40799
51561,131.3167,27.82389,15.77905
51587,131.7792,28.23667,13.95667
50706,118.8292,20.65222,23.23491
48864,146.468,34.6856,13.89531
47234,153.4792,38.84278,13.63311
47137,185.9917,48.77945,22.14698
49190,190.274,50.3934,12.87033
48056,195.657,50.4384,13.55211
44575,7.68887,-0.438073,20.23117
41034,8.01635,-0.42188,20.94487
43726,8.47592,-0.592985,19.39364
40559,8.48148,-0.451225,19.51101
44704,10.1978,-0.428905,21.63412
45069,349.111,-0.07162389,20.70458
41644,350.292,-0.175826,18.92506
41814,351.4,-0.01453639,17.72013
42522,353.6995,-0.1516858,20.86444
43761,354.106,-0.109589,20.45953
43510,354.062,-0.04425589,20.13166
43762,355.556,-0.0228685,20.56504
40828,355.633,-0.0525541,20.01972
43511,356.576,-0.02912419,19.99194
40346,357.022,-0.143349,20.8052
41317,358.56,-0.12484,23.10646
40542,358.621,-0.143875,20.91156
43485,358.961,-0.01217231,19.45183
41816,359.924,-0.0418275,21.92057
43410,0.2813667,-0.09787916,18.49243
42359,0.270409,-0.174239,22.98922
44109,2.14138,-0.141525,20.93392
40961,2.30681,-0.02017319,21.35936
25321,2.339792,-0.07036111,17.06918
42807,2.56538,-0.177344,23.89363
50584,2.66394,-0.05288839,14.4177
43271,2.68238,-0.04162511,20.07623
40962,2.712954,-0.06990528,21.94109
42332,3.18508,-0.0342312,21.95809
43764,3.91277,-0.167065,19.90731
43502,4.58888,-0.03232631,21.21932
48513,5.054167,-0.1388889,21.2056
40963,6.15638,-0.02604389,18.94134
44989,6.1523,-0.168319,19.61692
41155,6.7703,-0.04238211,18.37766
43503,7.083371,-0.05806528,18.74943
44121,7.23074,-0.0722082,17.64087
48756,215.6375,52.38139,23.86097
40537,7.44917,-0.162015,21.66872
43513,7.53616,-0.111247,19.99949
53670,252.7915,29.07747,16.57582
41701,7.75309,-0.07145039,21.02857
43515,8.80383,-0.119495,19.94636
42801,10.13647,-0.1821272,19.40253
43516,10.9458,-0.0757423,21.31163
43273,11.1175,-0.103529,22.35913
41819,12.3684,-0.060159,19.9044
44269,12.7602,-0.03220781,20.02675
47194,13.2184,-0.0744,16.48696
43520,21.054,-0.02312919,20.76883
45649,21.0955,-0.124929,22.88769
49487,3.7703,0.3551111,19.0997
45625,5.16571,0.320808,20.96895
44656,5.79379,0.313727,22.22675
41834,6.40368,0.243643,16.61463
48525,6.725,0.3802778,23.75056
43416,7.49386,0.270605,20.82855
50417,7.84656,0.319481,18.82294
41703,8.074117,0.2744578,23.63522
44413,8.66859,0.244377,19.38571
43417,10.7142,0.222885,19.32006
43781,10.6861,0.291463,20.44294
44964,11.5948,0.356057,22.26245
40540,11.9142,0.378563,18.70936
56986,215.5378,52.21925,21.50625
42310,354.437,0.656707,20.01448
42926,355.181,0.73386,18.97279
41922,355.188,0.632305,20.13675
43741,357.266,0.768247,17.95988
42130,357.5046,0.6500158,21.0015
45521,357.539,0.820127,21.1046
44987,357.883,0.827541,18.78302
42761,359.4,0.823829,18.77064
42142,359.994,0.744635,18.61896
44501,0.768486,0.796384,22.74675
43541,1.87237,0.832576,22.07442
45439,2.16601,0.70008,21.1302
42762,2.14198,0.804306,19.0901
44505,2.59037,0.709972,17.82276
43542,4.17929,0.722562,18.05886
40550,4.37749,0.759648,16.97828
40994,4.63452,0.788837,19.04764
43943,5.37128,0.675133,19.91531
44506,5.71181,0.681025,19.83831
41268,5.72457,0.832856,20.27262
45005,5.81921,0.678989,22.49299
42537,358.4703,1.114249,18.33125
43942,359.241,1.21834,18.9035
50446,0.288311,1.0693,17.37339
44607,1.261888,1.14641,17.65224
44192,1.33669,1.06143,19.07094
43072,1.59551,1.05142,21.0702
41201,3.26123,1.10241,19.71167
49513,3.28984,1.14572,20.60784
