# ID claimedtype ra dec redshift redshift_kind host hostra hostdec vflag rmag abs_mag
46598 II 174.84862499999997 56.26691666666667 0.00841 host "NGC 3780" 174.843 56.2706 1 12.11827 -19.889813493629198
46636 I 210.82083333333333 38.525 0.019 host "MCG +07-29-43, UGC 8975" 210.82083333333333 38.532222222222224 0 22.77758 -11.000291519403781
46641 II 218.76666666666665 5.348333333333334 0.029 host "NGC 5679B, NGC 5679" 218.78333333333333 5.359999999999999 0 22.01462 -12.681473504134416
46683 I 249.225 36.415 0.031 host "MCG +06-36-55, UGC 10473" 249.225 36.42388888888889 0 13.64258 -21.198331983811002
46693 "II, II L" 168.89999999999998 55.91 0.033 host "MCG +09-19-19, MCG +09-19-019, PGC 34337" 168.89583333333331 55.910555555555554 0 23.63847 -11.338203214029075
46697 II 122.79166666666666 46.458333333333336 0.0075 host "MCG +08-15-47, UGC 4260" 122.79166666666666 46.465 1 21.22482 -10.534589831598137
46714 II 214.4983333333333 25.138333333333332 0.01727 heliocentric "NGC 5548" 214.49999999999997 25.136666666666667 1 12.49424 -21.07632520247693
46725 "II, II L" 198.34045833333332 36.60897222222222 0.00962 -999 "NGC 5033" 198.36666666666665 36.59388888888889 1 17.9749 -14.325078874828701
46737 II 175.92916666666665 19.988333333333333 0.022 host "MCG +03-30-66, UGC 6697" 175.95416666666665 19.97 0 14.34861 -19.74760691875067
46753 "II, IIn, II P" 190.40608333333333 26.074527777777778 0.016 host "NGC 4615" 190.4083333333333 26.07472222222222 1 21.179 -12.22570342791926
46774 "II, IIn" 155.29662499999998 35.65836111111111 0.038 host "PGC 86944" 155.2958333333333 35.6575 1 15.47595 -19.80707149772369
46778 II 187.92041666666665 3.9230555555555555 0.01511 host "NGC 4496B, NGC 4496" 187.92 3.9263 1 13.19738 -20.08304583633476
46782 II 248.33587500000002 34.80566666666667 0.03511 host "A163320+3448, KUG 1631+349B, PGC 2054836" 248.33599999999996 34.807199999999995 0 16.35556 -18.75569766196639
46790 "II, IIn, II P" 162.95874999999998 16.000138888888888 0.02284 -999 "MCG +03-28-22, PGC 32591, CGCG 095-049, MCG +03-28-022" 162.96666666666664 16.00111111111111 0 24.47614 -9.701444012508688
46793 Ib/c? 179.42499999999998 32.28333333333333 0.010854 -999 "NGC 3995" 179.4333333333333 32.29388888888889 1 13.16401 -19.398042600856925
46804 "Ib, Ib?" 204.4107083333333 28.802611111111112 0.027 host "MCG +05-32-45, KUG 1335+290, PGC 48138" 204.4125 28.802777777777777 0 21.85033 -12.690592335434573
46806 I 168.45416666666665 9.59 0.029 host "IC 2637" 168.45833333333331 9.586666666666668 1 13.46083 -21.235263504134416
46810 II 209.25383333333332 29.16675 0.008 host "NGC 5375" 209.23333333333332 29.16361111111111 0 21.12338 -10.776173449599355
46813 II 170.42208333333332 20.158277777777776 0.014 host "NGC 3646" 170.42916666666662 20.169722222222223 1 11.77488 -21.339863693030832
46820 II 148.21908333333332 42.86205555555556 0.01603 host "MCG +07-20-73, UGC 5295" 148.22599999999997 42.848 1 13.07115 -20.337621126410365
46837 "II P, II" 159.06283333333332 37.324222222222225 0.0052 host "NGC 3294" 159.06666666666666 37.32416666666667 1 11.12008 -19.844040232813633
46868 "Ic, Ic Pec" 178.46666666666664 33.361666666666665 0.011 host "IC 2973" 178.46249999999998 33.36527777777778 1 13.70124 -18.889826940430765
46870 II 173.16899999999995 5.342099999999999 0.02814 host "A113242+0521, PGC 1281917" 173.16799999999998 5.343299999999999 1 16.26729 -18.36343398013327
46877 II 198.1566666666666 12.584166666666667 0.01097 host "NGC 5020" 198.16599999999997 12.5998 1 12.94423 -19.640906652513195
46885 Ib/c 238.72279166666664 19.012138888888888 0.035 host "A155453+1900, PGC 140543" 238.7208333333333 19.011944444444445 0 22.07524 -13.029203736391018
46932 II 161.6509583333333 13.74461111111111 0.01 host "NGC 3367" 161.64583333333334 13.750555555555556 1 14.67315 -17.710953514639634
46999 "II P?, II, II P" 174.83233333333334 56.27108333333333 0.00841 host "NGC 3780" 174.843 56.2706 1 12.11827 -19.889813493629198
47000 Ib/c? 172.13124999999997 58.56055555555555 0.01 host "NGC 3690" 172.1333333333333 58.56222222222222 1 12.49121 -19.89289351463963
47005 II 145.93395833333332 49.29880555555555 0.0251 host "PGC 27842" 145.938 49.2967 0 16.09225 -18.29022212204483
47007 "II, II L" 172.13929166666665 58.558611111111105 0.01 host "NGC 3690" 172.1333333333333 58.56222222222222 1 12.49121 -19.89289351463963
47014 "II, IIn, II Pec, II P" 157.44249999999997 13.020277777777778 0.00979 host "UGC 5695" 157.44499999999996 13.0182 1 14.06833 -18.26968697365533
47050 II 157.44499999999996 13.020277777777778 0.00979 host "UGC 5695" 157.44499999999996 13.0182 1 14.06833 -18.26968697365533
47061 "II, IIn" 208.90374999999995 40.46483333333334 0.0085 heliocentric "NGC 5371" 208.91666666666663 40.461666666666666 1 10.40886 -21.6223381432111
47073 "II, IIn" 138.50612499999997 40.10597222222222 0.00853 host "NGC 2782" 138.521 40.1137 1 12.13367 -19.905178670477248
47086 II 200.249375 3.5989444444444447 0.07565 host "A132059+0335, MAPS-NGPO_558_0292422" 200.24999999999997 3.5974 1 17.85203 -18.926118176435665
47132 II 147.93124999999998 40.314055555555555 0.048 host "A095143+4018, PGC 2163910" 147.92916666666665 40.31388888888888 1 21.47096 -14.31934970151757
47137 II 185.98583333333332 48.778055555555554 0.014 host "NGC 4357" 185.99166666666665 48.779444444444444 1 22.14698 -10.967763693030832
47172 II 198.01841666666664 46.193999999999996 0.02864 host "NGC 5021" 198.02599999999998 46.196099999999994 0 13.30354 -21.36542858281873
47234 "Ia, Ic, Ib/c" 153.48408333333333 38.81680555555556 0.023 host "NGC 3160" 153.47916666666666 38.84277777777778 0 13.63311 -20.559632694727597
47259 "II, IIn, II P" 147.75088333333332 20.07218888888889 0.013 host A095100+2004 147.74999999999997 20.073333333333334 0 17.07788 -15.875940276173822
47296 I 173.23804166666665 50.245444444444445 0.0099 host "IC 705" 173.23333333333332 50.24166666666667 1 14.13497 -18.227309487627384
47298 II 184.96941666666663 7.730472222222223 0.01257 host "A121952+0743, PGC 39731" 184.96899999999997 7.7312 1 17.05656 -15.824219903069423
47324 II 201.00491666666667 9.70636111111111 0.023 host "NGC 5125" 201.00416666666663 9.710277777777778 0 24.80213 -9.3906126947276
47328 "II, IIn, II Pec" 228.41574999999997 2.8956944444444446 0.0369 host "A151339+0253, PGC 1240278" 228.41099999999997 2.8951 0 15.79164 -19.427595345434938
47339 "IIb, II, Ib/c" 241.4430416666666 21.487277777777777 0.015 host "NGC 6060" 241.4666666666666 21.484722222222224 0 12.4595 -20.805059809918042
47349 II 163.57895833333333 27.23536111111111 0.0044 host "NGC 3451, UGC 6023" 163.58749999999998 27.240000000000002 1 22.55662 -8.044746897070578
47368 "II, IIn" 197.90304166666664 22.924833333333336 0.0087 host "NGC 5012" 197.90416666666667 22.915555555555553 1 11.85992 -20.221779777732728
47370 "Ic, Ia" 178.74991666666665 58.49066666666667 0.01063 host "NGC 3963" 178.745 58.4936 1 12.17506 -20.34170983725612
47412 II 168.6542916666666 30.31436111111111 0.0668 -999 "UGC 6271" 168.65416666666664 30.314722222222223 1 13.82456 -22.683425827017366
47414 Ib 172.1380833333333 58.56222222222222 0.01 host "NGC 3690" 172.1333333333333 58.56222222222222 1 12.49121 -19.89289351463963
47417 II 149.72845833333332 14.423805555555555 0.0116 -999 "NGC 3075" 149.73333333333332 14.420555555555556 1 24.80194 -7.904453460774231
47438 II 143.74524999999997 21.71597222222222 0.0125 -999 "NGC 2916" 143.74166666666665 21.705277777777777 1 24.26781 -8.600843579679914
47468 "II, II P, II Pec" 159.60587499999997 47.70911111111111 0.00526 host HS1035+4758 159.60699999999997 47.7102 1 16.28451 -14.704522235408334
47475 Ib 202.3304583333333 17.04511111111111 0.0136 -999 "NGC 5172" 202.32916666666662 17.051666666666666 1 12.33001 -20.721788056490723
47492 "II, IIn" 237.79862499999996 21.943333333333335 0.026 host "UGC 10062" 237.79999999999998 21.9425 1 21.49834 -12.96063025449373
47558 II 172.11825 58.56083333333333 0.0104 host "NGC 3690" 172.1333333333333 58.56222222222222 1 12.49121 -19.97806021113354
47580 "II, IIn" 155.655125 27.355500000000003 0.051 host "UGC 5608" 155.65833333333333 27.355833333333333 0 14.79716 -21.12479439512932
47596 II 127.44774999999998 4.627361111111112 0.03901 host A082947+0437 127.44699999999999 4.626600000000001 0 16.94799 -18.391993266198593
47604 "Ia-02cx, Ia, II" 210.99133333333333 15.852555555555556 0.05 host A140357+1551 210.98749999999998 15.8525 1 30.33375 -5.545203536319729
47609 Ic 127.1295 17.47094444444444 0.021 host "MCG +03-22-14, UGC 4433" 127.12916666666666 17.46611111111111 1 22.02852 -11.966679988309238
47627 Ic 174.92708333333331 31.90808333333333 0.008933 -999 "NGC 3786" 174.92499999999998 31.90972222222222 1 17.3052 -14.833890184583659
47636 II 170.4287083333333 20.156694444444444 0.0142 -999 "NGC 3646" 170.42916666666662 20.169722222222223 1 11.77488 -21.370665236554924
47646 Ic 226.68916666666664 12.860277777777778 0.0217 -999 "MCG +02-38-43, PGC 53961" 226.69166666666663 12.850277777777777 0 24.41578 -9.650622183882287
47658 II 227.23549999999997 52.44808333333333 0.038 host "CGCG 274-026, PGC 54081" 227.23749999999995 52.44611111111111 0 20.71413 -14.568891497723687
47686 Ib 137.38612499999996 33.12136111111111 0.00645 host "NGC 2770" 137.391 33.1235 1 24.80193 -6.629972087815975
47701 II 171.57358333333332 46.975750000000005 0.025 host "NGC 3677" 171.57083333333333 46.973888888888894 1 13.11954 -21.25426355799982
47732 "II, IIn" 122.55708333333331 33.95827777777778 0.01751 host "NGC 2532" 122.56299999999999 33.9566 1 12.98961 -20.61092424505687
47763 II 145.17312499999997 11.88561111111111 0.02175 host "NGC 2958" 145.17299999999997 11.888399999999999 0 13.16493 -20.90646982109292
47764 "II, Ia" 202.81766666666664 29.37563888888889 0.04793 heliocentric "UGC 8510" 202.825 29.368055555555557 1 21.51619 -14.270950659598576
47801 II 118.28499999999998 50.126472222222226 0.019 host "MCG +08-15-14, PGC 22075" 118.28749999999998 50.130833333333335 1 13.9757 -19.80217151940378
47839 II 239.93966666666662 18.803611111111113 0.029 -999 "UGC 10121" 239.93749999999994 18.80027777777778 1 20.79465 -13.901443504134416
47843 "II, II Pec, II L" 209.52562499999996 28.42027777777778 0.027 host "IC 4355" 209.52499999999998 28.422777777777778 0 14.6074 -19.933522335434574
47847 II 239.35245833333332 41.900555555555556 0.039 host "MCG +07-33-17, PGC 56478" 239.34999999999994 41.903055555555554 0 14.85382 -20.485606549772136
47849 II 245.33891666666665 40.80269444444444 0.03 host "UGC 10354" 245.34166666666664 40.81055555555555 1 14.65499 -20.11471978823795
47850 Ic 209.65987499999997 37.43677777777778 0.012 host "NGC 5395" 209.6583333333333 37.425555555555555 0 11.89832 -20.88168974487776
47851 "II, II Pec" 245.8843333333333 39.12475 0.035 host "MCG +07-34-15, PGC 57994" 245.88333333333333 39.12083333333334 0 24.04244 -11.06200373639102
47852 "II, IIn" 255.26516666666663 33.47916666666667 0.03 host A170103+3328 255.26249999999993 33.47916666666667 1 23.13765 -11.632059788237946
47863 Ib 186.3007083333333 54.50797222222222 0.00833 host "NGC 4384" 186.29799999999997 54.5061 1 13.10888 -18.878448521673576
47879 Ib 134.1808333333333 52.10366666666667 0.013 host "UGC 4671" 134.17916666666665 52.105555555555554 1 13.37589 -19.577930276173824
47909 II 179.44062499999998 32.29697222222222 0.011 host "NGC 3995" 179.4333333333333 32.29388888888889 1 13.16401 -19.427056940430766
47914 II 138.7297916666666 46.900555555555556 0.014 host "MCG +08-17-63, UGC 4870" 138.73333333333332 46.90333333333333 1 20.84762 -12.267123693030832
47947 II 135.180125 17.621000000000002 0.013 host "UGC 4729" 135.17499999999998 17.621944444444445 0 14.36226 -18.591560276173823
47948 II 168.4835833333333 12.302166666666668 0.0108 host "IC 677" 168.48499999999999 12.3011 1 13.25974 -19.291482292074384
