ID,PhotoObjID,hostra,hostdec,SDSSra,SDSSdec,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z
40401,1237663784742945041,19.8529,0.537595,19.8529140018431,0.537596784665195,21.38701,20.95291,20.93456,20.73631,20.77855,0.2388323,0.2161153,0.2974811,0.3175602,0.5477893,0.129915,0.1012289,0.0700297,0.05203957,0.03870788
41263,1237663784742945229,19.903,0.517869,19.9029759597344,0.51787085202138,21.01017,19.91563,19.15895,18.73968,18.60822,0.2346396,0.0451271,0.03371752,0.03617467,0.1056312,0.1305997,0.1017624,0.07039876,0.05231382,0.03891187
42981,1237663784743534801,21.2336,0.516195,21.2336447752763,0.516196527355346,20.83844,20.25867,19.26867,18.78186,18.4579,0.1573677,0.0466998,0.0285741,0.02905841,0.06967499,0.1256937,0.09793966,0.0677542,0.05034864,0.03745013
45607,1237663784743534871,21.1833,0.531734,21.1832820101681,0.531733332498019,21.88641,20.8168,19.76965,19.45967,19.03212,0.3210279,0.06405488,0.03695701,0.04351372,0.09826167,0.1236708,0.09636343,0.06666378,0.04953833,0.03684742
43064,1237663784744255848,22.7778,0.485189,22.7778181326654,0.485187504847397,20.81114,20.24257,19.89599,19.78061,19.79123,0.1804478,0.05529152,0.05592456,0.08962051,0.2927087,0.1038855,0.08094685,0.05599866,0.04161301,0.03095243
42435,1237663784744648979,23.7413,0.460636,23.7413108941242,0.460635812726139,22.02573,21.63816,20.67472,20.09958,19.33667,0.4635804,0.1698344,0.1044687,0.1099003,0.1797616,0.1311246,0.1021714,0.07068173,0.0525241,0.03906828
43128,1237663784745370115,25.3743,0.54653,25.3743335532999,0.54653060546836,20.12527,25.08296,19.19374,19.11744,18.66537,0.2864951,6.736822,0.09383363,0.1331128,0.2976025,0.1665825,0.1297999,0.08979499,0.0667273,0.04963285
44375,1237663784745828449,26.4883,0.465013,26.4883206070432,0.465014095380622,19.95229,18.14915,17.59542,17.03785,16.45751,0.1259791,0.04909771,0.0498204,0.05672158,0.03200146,0.1325433,0.1032768,0.07144643,0.05309236,0.03949096
41450,1237663784746025155,26.9057,0.499509,26.9057235275155,0.499510585986405,20.78273,19.95971,19.27509,18.86932,18.74213,0.1498926,0.03685414,0.02966694,0.03225026,0.0938279,0.1409361,0.1098165,0.07597052,0.05645424,0.04199158
42635,1237663784746025306,26.9134,0.49159,26.9133905839677,0.491591413235435,20.69125,20.07369,19.63081,19.37679,19.28251,0.1276245,0.03895968,0.03815387,0.04692946,0.139085,0.1415808,0.1103188,0.07631806,0.0567125,0.04218368
45334,1237663784746418640,27.70289,0.4298361,27.7029078148212,0.429828966095369,22.80486,21.59136,21.04697,20.50959,20.01987,0.8920034,0.1499527,0.1421731,0.1345606,0.2746773,0.1540013,0.1199968,0.08301322,0.06168772,0.04588433
42639,1237663784747139728,29.4324,0.42435,29.4323747859464,0.424346139518552,21.50953,21.51641,19.82557,19.14757,18.76645,0.7573254,0.4159962,0.08554821,0.09500508,0.2512764,0.1114835,0.08686716,0.0600943,0.0446565,0.03321623
44059,1237663784747270418,29.6484,0.458092,29.6484012290946,0.458087821319328,19.36075,18.37144,17.65371,17.25822,17.07038,0.07691289,0.01633035,0.01235394,0.01358036,0.03800106,0.1191262,0.09282231,0.06421404,0.04771792,0.03549336
41087,1237663784747336058,29.8014,0.465597,29.8014086474676,0.465597509013049,21.65468,21.34353,20.97541,20.60011,20.39149,0.163295,0.07473163,0.08952264,0.09628792,0.2302659,0.1129398,0.08800191,0.06087932,0.04523986,0.03365014
44591,1237663784747860304,31.0027,0.609168,31.0026543053243,0.609170047685689,21.89764,21.78578,21.22005,20.80386,20.92821,0.2378254,0.1078075,0.09133198,0.09934796,0.3651332,0.1032642,0.08046273,0.05566375,0.04136413,0.03076731
44135,1237663784748319332,32.079,0.423771,32.0790094117563,0.423774193524954,22.97241,24.86664,21.44029,20.77799,22.09212,1.000881,2.009928,0.3773859,0.2859249,1.845249,0.1166122,0.09086342,0.06285889,0.04671089,0.03474432
44761,1237663784748449990,32.4467,0.50087,32.4467323298363,0.500870672234242,21.43048,20.14268,19.14261,18.59943,18.1648,0.2969705,0.04901772,0.02968649,0.02860033,0.06608769,0.117173,0.09130044,0.06316122,0.04693556,0.03491143
41937,1237663784748515508,32.489,0.43776,32.4890205895262,0.437760710669843,20.7311,19.01604,18.09095,17.63049,17.18352,0.2301602,0.02630751,0.01586456,0.01627818,0.03774496,0.1191777,0.09286242,0.06424179,0.04773854,0.0355087
48440,1237663784748516243,32.62083,0.5377778,32.6181470057216,0.539284300258304,24.68844,26.75821,22.83406,22.44776,23.02468,1.6257,0.5565467,0.4912414,0.5726485,1.540699,0.1253442,0.09766738,0.06756584,0.05020866,0.03734602
42643,1237663784749236815,34.2028,0.595547,34.2027962504876,0.595551036135722,23.87375,22.6131,20.90137,20.2688,19.51917,2.587496,0.5346106,0.1973262,0.157112,0.4685532,0.1366211,0.1064543,0.07364457,0.05472581,0.04070595
43850,1237663784749302454,34.3743,0.551899,34.3743102996443,0.551900208916798,24.66709,21.64324,20.05341,19.18539,18.70656,2.19872,0.195894,0.05376704,0.04943229,0.09006787,0.1561355,0.1216597,0.08416364,0.0625426,0.04652021
41675,1237663784749433403,34.6552,0.531454,34.6551913231,0.531453351766297,21.33933,21.24928,19.59471,19.02809,18.58546,0.3332703,0.1356225,0.05926173,0.04873814,0.1023494,0.1925334,0.1500207,0.1037837,0.07712238,0.05736488
45777,1237663784749695339,35.2659,0.50445,35.2658703528746,0.504455763184581,24.80451,23.25177,21.41235,20.99961,20.98888,1.616021,1.005534,0.391247,0.321931,1.025905,0.148177,0.1154585,0.07987366,0.05935469,0.04414898
41676,1237663784750220273,36.5081,0.626209,36.5080691403752,0.626205703134921,22.26105,21.39629,20.65964,20.08451,19.81367,0.5085511,0.1203069,0.09536711,0.09036443,0.2370709,0.1444245,0.1125346,0.07785092,0.05785157,0.04303094
43130,1237663784750547281,37.1832,0.429169,37.1831614291193,0.429165337975505,22.49261,21.26263,20.9415,20.78286,21.93754,0.7045029,0.1202943,0.1415128,0.1884535,1.475447,0.1222574,0.09526214,0.06590191,0.04897218,0.03642631
42050,1237663784750547321,37.2356,0.448171,37.235613704105,0.44816845647073,22.2595,21.64858,19.96179,19.25324,18.77427,0.4447234,0.1309209,0.04379119,0.03866344,0.08049368,0.120853,0.09416784,0.06514487,0.04840962,0.03600787
49699,1237663784750940246,38.1637,0.6173,38.1637237569303,0.617299212589883,15.81458,14.63027,14.05641,13.76086,13.56557,0.01181339,0.004704257,0.002977911,0.002687019,0.005540722,0.123177,0.09597866,0.0663976,0.04934053,0.03670029
51311,1237663784750940249,38.1625,0.6172222,38.1617522672399,0.617145194794044,22.76557,22.90732,24.80206,24.36184,22.82693,0.7620899,0.7888717,5.579381,6.09405,2.133873,0.1231134,0.09592916,0.06636335,0.04931508,0.03668136
45059,1237663784751202448,38.6722,0.562185,38.6721961194978,0.562184530417314,19.67442,18.4718,17.72939,17.31931,17.11242,0.1276993,0.02253218,0.01717464,0.01909756,0.05296087,0.09571136,0.07457764,0.05159247,0.03833873,0.02851697
49450,1237663785276670105,12.7151,0.8512,12.714878010091,0.851339920280786,17.90584,16.51084,16.10365,15.83857,15.81664,0.1605356,0.035468,0.107947,0.01646943,0.0693396,0.1011611,0.07882404,0.05453011,0.04052171,0.03014071
42396,1237663785276866666,13.028,1.02129,13.0279945341176,1.02129373888755,18.6356,16.96438,16.07923,15.66134,15.34838,0.06365929,0.02700333,0.02560336,0.02439236,0.02656146,0.1132531,0.08824605,0.06104821,0.04536537,0.0337435
45383,1237663785276932468,13.1898,0.925336,13.1898470146308,0.925339120538317,22.19251,22.6684,21.33501,21.25883,21.61326,0.5129374,0.3917177,0.1640901,0.2407247,1.16546,0.1112426,0.08667945,0.05996444,0.04456001,0.03314446
