# ID claimedtype dec host hostdec hostra ra redshift redshift_kind
147 "Ibn, Ib" 50.99186111111111 "MCG +09-27-87, PGC 59030" "" "" 252.1048333333333 0.04866 ""
148 "Ia, Ia-91T" 62.97416944444445 "NGC 6319" "" "" 257.44179166666663 0.027408 ""
149 II 20.41069444444444 "MRK 884, MRK 0884" "" "" 247.9533333333333 0.017182 ""
152 "Ia, Ia-91T" -7.640772222222222 "2MASX J09202045-0738229" -7.639694444444444 140.08520833333333 140.08516666666668 0.033436 ""
155 II 1.4091666666666667 "NGC 5227" "" "" 203.85474999999997 0.017479 ""
156 "Ia, Ia-91bg" 14.171052777777778 "NGC 4866" "" "" 194.86371666666665 0.006631 ""
159 "Ia, Ia-91bg" 39.50250555555556 "NGC 5536" "" "" 214.099875 0.019507 ""
167 IIn -78.12318333333333 "2MASX J15333488-7807258" -78.12383333333332 233.3953333333333 233.3929583333333 0.009096 ""
169 "Ia Pec" -0.7392527777777778 Unknown "" "" 302.5097916666666 0.025 ""
172 "" -79.43108333333333 "" "" "" 294.6254583333333 "" ""
174 IIn 3.500738888888889 "SDSS J110204.81+033003.1" 3.500861111111111 165.52004166666666 165.51979166666663 0.0348 ""
176 II -21.635541666666665 "ESO 569-G9, ESO 569-G009" "" "" 162.12625 0.012742 ""
185 II -31.65112222222222 "NGC 3157" "" "" 152.91245833333332 0.009477 ""
189 "Ia, Ia-91T" -4.591944444444444 "2MASX J08401168-0435369" -4.593583333333333 130.04866666666663 130.05004166666663 0.014257 ""
190 Ic -39.54713888888889 "ESO 297-G37, ESO 297-G037" "" "" 29.548041666666666 0.018453 ""
196 "II P" -28.656541666666666 "IC 4303" "" "" 204.32779166666666 0.008022 ""
198 IIn 67.15666666666667 "NGC 4108" "" "" 181.6898333333333 0.008382 ""
201 II 18.091388888888886 "UGC 546" "" "" 13.422499999999998 0.015014 ""
205 "II, IIn" -73.10900277777777 "ESO 47-G4, ESO 047-G004" "" "" 309.0218333333333 0.012625 ""
209 "Ia Pec, Ia-91T" 41.60398888888889 "MRK 283a, MRK 0283a" "" "" 210.81562499999998 0.034446 ""
